UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	1409
1	1	127
1	2	67
1	4	26
1	5	25
1	7	14
1	8	23
1	10	10
1	11	17
1	13	14
1	14	13
1	15	5
1	17	10
1	18	7
1	20	2
1	21	10
1	22	8
1	24	8
1	26	4
1	27	13
1	29	11
1	30	1
1	32	11
1	34	3
1	35	7
1	37	9
1	38	1
1	40	5
1	41	2
1	43	5
1	45	1
1	46	2
1	48	3
1	49	1
1	51	4
1	53	1
1	54	4
1	57	3
1	59	5
1	62	1
1	64	2
1	67	2
1	68	1
1	70	2
1	75	2
1	78	1
1	81	2
1	83	1
1	94	2
1	97	1
1	102	1
1	105	1
1	108	2
1	113	2
1	114	1
1	116	1
1	140	1
1	146	1
2	0	734
2	1	151
2	2	83
2	4	59
2	5	28
2	7	26
2	8	61
2	10	29
2	11	34
2	13	15
2	14	45
2	15	21
2	17	43
2	18	16
2	20	22
2	21	30
2	22	14
2	24	30
2	26	13
2	27	21
2	29	25
2	30	6
2	32	13
2	34	12
2	35	20
2	37	17
2	38	14
2	40	18
2	41	13
2	43	27
2	45	9
2	46	23
2	48	23
2	49	15
2	51	15
2	53	5
2	54	7
2	56	15
2	57	7
2	59	8
2	61	9
2	62	7
2	64	9
2	65	8
2	67	13
2	68	5
2	70	9
2	72	1
2	73	7
2	75	7
2	76	3
2	78	4
2	80	4
2	81	1
2	83	2
2	84	4
2	86	4
2	89	4
2	91	1
2	92	5
2	94	6
2	97	3
2	99	1
2	100	3
2	102	1
2	103	2
2	105	4
2	108	6
2	111	1
2	113	3
2	116	1
2	119	2
2	121	1
2	122	1
2	125	1
2	129	1
2	132	1
2	137	1
2	138	1
2	140	1
2	160	1
2	173	1
3	0	229
3	1	116
3	2	121
3	4	78
3	5	38
3	7	35
3	8	43
3	10	18
3	11	44
3	13	35
3	14	52
3	15	25
3	17	51
3	18	27
3	20	15
3	21	45
3	22	25
3	24	51
3	26	34
3	27	46
3	29	32
3	30	14
3	32	32
3	34	19
3	35	32
3	37	31
3	38	14
3	40	23
3	41	13
3	43	23
3	45	11
3	46	29
3	48	21
3	49	14
3	51	25
3	53	12
3	54	21
3	56	16
3	57	9
3	59	25
3	61	7
3	62	15
3	64	15
3	65	27
3	67	18
3	68	6
3	70	17
3	72	8
3	73	16
3	75	11
3	76	4
3	78	13
3	80	4
3	81	12
3	83	7
3	84	10
3	86	9
3	87	2
3	89	12
3	91	5
3	92	11
3	94	9
3	95	5
3	97	10
3	99	2
3	100	9
3	102	3
3	103	12
3	105	6
3	106	3
3	108	4
3	110	2
3	111	4
3	113	5
3	114	7
3	116	8
3	118	5
3	119	2
3	121	4
3	122	1
3	124	4
3	127	2
3	130	1
3	132	2
3	133	1
3	135	1
3	137	2
3	138	3
3	140	3
3	141	1
3	143	2
3	146	4
3	148	2
3	149	3
3	151	1
3	152	2
3	154	4
3	159	1
3	164	2
3	167	1
3	175	1
4	0	131
4	1	77
4	2	89
4	4	35
4	5	32
4	7	30
4	8	52
4	10	21
4	11	34
4	13	20
4	14	41
4	15	22
4	17	34
4	18	26
4	20	24
4	21	54
4	22	23
4	24	34
4	26	28
4	27	26
4	29	27
4	30	20
4	32	34
4	34	14
4	35	48
4	37	44
4	38	23
4	40	32
4	41	18
4	43	45
4	45	11
4	46	24
4	48	26
4	49	13
4	51	29
4	53	11
4	54	28
4	56	34
4	57	10
4	59	18
4	61	13
4	62	22
4	64	9
4	65	21
4	67	19
4	68	8
4	70	13
4	72	9
4	73	22
4	75	11
4	76	10
4	78	24
4	80	11
4	81	14
4	83	6
4	84	16
4	86	20
4	87	6
4	89	13
4	91	13
4	92	18
4	94	14
4	95	3
4	97	18
4	99	7
4	100	15
4	102	3
4	103	19
4	105	11
4	106	7
4	108	12
4	110	5
4	111	12
4	113	3
4	114	5
4	116	5
4	118	7
4	119	5
4	121	12
4	122	1
4	124	3
4	125	2
4	127	6
4	129	2
4	130	8
4	132	7
4	133	1
4	135	5
4	137	1
4	138	3
4	140	8
4	141	1
4	143	4
4	144	1
4	146	4
4	149	6
4	151	7
4	152	1
4	154	7
4	156	3
4	157	5
4	159	4
4	162	5
4	164	4
4	165	5
4	171	1
4	175	2
4	176	2
4	178	1
4	179	1
4	183	1
4	192	1
4	197	1
5	0	51
5	1	46
5	2	49
5	4	43
5	5	16
5	7	21
5	8	36
5	10	15
5	11	48
5	13	17
5	14	35
5	15	20
5	17	37
5	18	27
5	20	24
5	21	41
5	22	12
5	24	37
5	26	21
5	27	48
5	29	38
5	30	22
5	32	37
5	34	24
5	35	32
5	37	29
5	38	16
5	40	30
5	41	16
5	43	31
5	45	17
5	46	28
5	48	27
5	49	15
5	51	31
5	53	17
5	54	24
5	56	32
5	57	14
5	59	30
5	61	20
5	62	27
5	64	11
5	65	19
5	67	40
5	68	11
5	70	27
5	72	16
5	73	25
5	75	24
5	76	8
5	78	19
5	80	13
5	81	25
5	83	10
5	84	23
5	86	25
5	87	11
5	89	12
5	91	6
5	92	13
5	94	17
5	95	13
5	97	24
5	99	13
5	100	12
5	102	13
5	103	15
5	105	17
5	106	6
5	108	12
5	110	7
5	111	13
5	113	11
5	114	5
5	116	9
5	118	9
5	119	7
5	121	10
5	122	3
5	124	5
5	125	6
5	127	11
5	129	7
5	130	6
5	132	9
5	133	2
5	135	5
5	137	7
5	138	8
5	140	11
5	143	3
5	144	3
5	146	1
5	149	6
5	151	9
5	152	3
5	154	6
5	156	4
5	157	4
5	159	2
5	160	2
5	162	4
5	164	3
5	165	5
5	167	1
5	168	3
5	170	4
5	173	2
5	175	2
5	176	1
5	178	4
5	181	1
5	183	2
5	184	5
5	187	1
5	189	2
5	192	2
6	0	23
6	1	30
6	2	35
6	4	28
6	5	10
6	7	14
6	8	23
6	10	13
6	11	24
6	13	18
6	14	25
6	15	15
6	17	35
6	18	11
6	20	15
6	21	36
6	22	14
6	24	32
6	26	16
6	27	23
6	29	32
6	30	15
6	32	20
6	34	22
6	35	28
6	37	30
6	38	19
6	40	22
6	41	20
6	43	29
6	45	18
6	46	40
6	48	34
6	49	13
6	51	31
6	53	19
6	54	38
6	56	24
6	57	15
6	59	25
6	61	18
6	62	33
6	64	17
6	65	19
6	67	25
6	68	19
6	70	33
6	72	16
6	73	21
6	75	22
6	76	7
6	78	26
6	80	14
6	81	37
6	83	9
6	84	37
6	86	23
6	87	10
6	89	18
6	91	15
6	92	13
6	94	12
6	95	6
6	97	21
6	99	14
6	100	27
6	102	12
6	103	14
6	105	20
6	106	15
6	108	27
6	110	9
6	111	18
6	113	9
6	114	12
6	116	15
6	118	9
6	119	19
6	121	17
6	122	8
6	124	17
6	125	5
6	127	11
6	129	4
6	130	16
6	132	11
6	133	4
6	135	15
6	137	4
6	138	6
6	140	11
6	141	9
6	143	12
6	144	5
6	146	8
6	148	11
6	149	8
6	151	6
6	152	5
6	154	7
6	156	2
6	157	7
6	159	6
6	160	1
6	162	6
6	164	3
6	165	11
6	167	2
6	168	5
6	170	4
6	171	1
6	173	8
6	176	7
6	178	3
6	179	1
6	181	3
6	183	2
6	187	1
6	189	2
6	190	3
6	194	1
6	195	3
6	197	6
6	200	2
6	203	1
6	206	1
7	0	29
7	1	8
7	2	30
7	4	13
7	5	14
7	7	6
7	8	12
7	10	6
7	11	8
7	13	9
7	14	20
7	15	9
7	17	21
7	18	8
7	20	7
7	21	13
7	22	7
7	24	25
7	26	3
7	27	16
7	29	12
7	30	21
7	32	18
7	34	15
7	35	21
7	37	24
7	38	11
7	40	25
7	41	10
7	43	20
7	45	13
7	46	38
7	48	25
7	49	15
7	51	33
7	53	12
7	54	25
7	56	23
7	57	11
7	59	41
7	61	14
7	62	24
7	64	14
7	65	25
7	67	32
7	68	6
7	70	26
7	72	14
7	73	25
7	75	24
7	76	12
7	78	28
7	80	27
7	81	25
7	83	15
7	84	24
7	86	35
7	87	12
7	89	27
7	91	8
7	92	36
7	94	23
7	95	24
7	97	33
7	99	13
7	100	25
7	102	16
7	103	17
7	105	23
7	106	9
7	108	23
7	110	6
7	111	23
7	113	29
7	114	12
7	116	17
7	118	10
7	119	20
7	121	24
7	122	13
7	124	21
7	125	8
7	127	22
7	129	8
7	130	24
7	132	21
7	133	6
7	135	16
7	137	13
7	138	15
7	140	22
7	141	5
7	143	8
7	144	3
7	146	10
7	148	10
7	149	11
7	151	7
7	152	4
7	154	12
7	156	6
7	157	10
7	159	13
7	160	10
7	162	9
7	164	5
7	165	21
7	167	3
7	168	8
7	170	6
7	171	6
7	173	4
7	175	5
7	176	7
7	178	12
7	179	8
7	181	7
7	183	1
7	184	3
7	186	3
7	187	2
7	189	3
7	190	4
7	192	6
7	194	1
7	195	3
7	197	2
7	200	7
7	203	4
7	205	1
7	206	1
8	0	7
8	1	6
8	2	18
8	4	11
8	5	4
8	7	1
8	8	10
8	10	1
8	11	12
8	13	5
8	14	11
8	15	2
8	17	8
8	18	5
8	20	9
8	21	14
8	22	3
8	24	10
8	26	3
8	27	8
8	29	13
8	30	2
8	32	18
8	34	9
8	35	16
8	37	16
8	38	11
8	40	21
8	41	13
8	43	23
8	45	10
8	46	28
8	48	24
8	49	19
8	51	17
8	53	11
8	54	19
8	56	12
8	57	12
8	59	27
