UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	1394
1	1	60
1	2	28
1	3	37
1	4	16
1	6	31
1	7	20
1	9	20
1	10	23
1	12	6
1	13	24
1	14	15
1	16	14
1	17	4
1	19	4
1	20	16
1	22	20
1	23	9
1	25	19
1	27	4
1	28	12
1	30	4
1	31	9
1	33	5
1	34	6
1	36	8
1	38	8
1	39	12
1	41	12
1	42	5
1	44	3
1	46	3
1	47	6
1	49	5
1	50	1
1	52	4
1	54	4
1	55	6
1	57	1
1	58	3
1	60	2
1	61	1
1	63	6
1	66	1
1	68	3
1	69	1
1	71	2
1	73	1
1	76	4
1	77	1
1	79	1
1	82	3
1	84	1
1	85	1
1	87	3
1	101	1
1	103	2
1	109	1
1	115	1
1	136	1
2	0	787
2	1	89
2	2	53
2	3	71
2	4	35
2	6	56
2	7	33
2	9	24
2	10	55
2	12	23
2	13	30
2	14	19
2	16	32
2	17	19
2	19	20
2	20	31
2	22	32
2	23	18
2	25	26
2	27	10
2	28	27
2	30	7
2	31	22
2	33	19
2	34	14
2	36	23
2	38	16
2	39	19
2	41	13
2	42	7
2	44	12
2	46	13
2	47	14
2	49	13
2	50	10
2	52	18
2	54	5
2	55	12
2	57	10
2	58	5
2	60	8
2	61	6
2	63	13
2	65	5
2	66	10
2	68	8
2	69	4
2	71	6
2	73	4
2	74	6
2	76	4
2	77	3
2	79	12
2	81	2
2	82	4
2	84	1
2	85	5
2	87	4
2	88	2
2	90	8
2	92	2
2	93	2
2	95	4
2	96	3
2	98	3
2	100	3
2	101	1
2	103	3
2	104	2
2	106	2
2	108	2
2	109	4
2	111	2
2	112	4
2	114	1
2	115	2
2	120	1
2	122	2
2	127	2
2	133	3
2	135	2
2	139	1
2	141	1
2	144	1
2	146	1
2	147	1
2	155	1
2	162	1
2	166	1
2	168	1
2	179	1
3	0	354
3	1	74
3	2	61
3	3	84
3	4	29
3	6	68
3	7	38
3	9	31
3	10	59
3	12	29
3	13	55
3	14	20
3	16	43
3	17	16
3	19	23
3	20	36
3	22	42
3	23	24
3	25	33
3	27	21
3	28	35
3	30	21
3	31	26
3	33	40
3	34	21
3	36	28
3	38	19
3	39	27
3	41	28
3	42	11
3	44	34
3	46	10
3	47	25
3	49	20
3	50	9
3	52	13
3	54	15
3	55	12
3	57	15
3	58	20
3	60	14
3	61	13
3	63	14
3	65	6
3	66	12
3	68	8
3	69	11
3	71	9
3	73	4
3	74	17
3	76	16
3	77	4
3	79	15
3	81	5
3	82	5
3	84	3
3	85	15
3	87	8
3	88	3
3	90	14
3	92	7
3	93	6
3	95	10
3	96	2
3	98	2
3	100	5
3	101	10
3	103	6
3	104	2
3	106	7
3	108	3
3	109	4
3	111	3
3	112	8
3	114	6
3	115	3
3	117	1
3	119	3
3	120	5
3	122	7
3	123	4
3	125	2
3	127	3
3	128	2
3	130	2
3	131	1
3	133	3
3	135	1
3	136	3
3	138	1
3	139	2
3	141	4
3	142	2
3	144	3
3	147	4
3	149	1
3	150	1
3	152	3
3	154	1
3	166	1
3	169	2
3	171	1
3	173	1
3	174	1
3	176	1
3	211	1
3	214	1
4	0	217
4	1	85
4	2	41
4	3	66
4	4	35
4	6	62
4	7	24
4	9	26
4	10	41
4	12	27
4	13	45
4	14	26
4	16	46
4	17	25
4	19	32
4	20	47
4	22	46
4	23	25
4	25	40
4	27	20
