bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-7.947083751969764	3.228199144488171e-15	2.0883331492219524e-21	-7.947083751969764	3.228199144488171e-15	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-14.104609097811695	4.675972983467625e-43	2.182425369757433e-98	-14.104609097811695	4.675972983467625e-43	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
2	-6.4544235599230335	1.3724812300605543e-10	2.0883331492219524e-21	-6.4544235599230335	1.3724812300605543e-10	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-10.717553554040279	4.537947097139243e-26	2.182425369757433e-98	-10.717553554040279	4.537947097139243e-26	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
3	-1.9880936682869117	0.04694339298217199	2.0883331492219524e-21	-1.9880936682869117	0.04694339298217199	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-5.649692547397224	1.8481627021984628e-08	2.182425369757433e-98	-5.649692547397224	1.8481627021984628e-08	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
4	-1.3020356503033068	0.19306068152033604	2.0883331492219524e-21	-1.3020356503033068	0.19306068152033604	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-5.151304703657803	2.8525851290630154e-07	2.182425369757433e-98	-5.151304703657803	2.8525851290630154e-07	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
5	-2.745714725814732	0.006094332478390445	2.0883331492219524e-21	-2.745714725814732	0.006094332478390445	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-4.25111725426036	2.2293031256147845e-05	2.182425369757433e-98	-4.25111725426036	2.2293031256147845e-05	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
6	-1.6439331748010215	0.10035403547857387	2.0883331492219524e-21	-1.6439331748010215	0.10035403547857387	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-4.179690270650803	3.0504385319839673e-05	2.182425369757433e-98	-4.179690270650803	3.0504385319839673e-05	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
7	-1.200791117384852	0.22998063342187763	2.0883331492219524e-21	-1.200791117384852	0.22998063342187763	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-2.2078766008698247	0.027370927733137804	2.182425369757433e-98	-2.2078766008698247	0.027370927733137804	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
8	0.13570979580804401	0.8920649555337452	2.0883331492219524e-21	0.13570979580804401	0.8920649555337452	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-5.310294740728145	1.2216548728656292e-07	2.182425369757433e-98	-5.310294740728145	1.2216548728656292e-07	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
9	-0.6097888599371387	0.5420739686353011	2.0883331492219524e-21	-0.6097888599371387	0.5420739686353011	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-5.3100576101439065	1.223216244127803e-07	2.182425369757433e-98	-5.3100576101439065	1.223216244127803e-07	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
10	-2.072621264095703	0.03834086292915935	2.0883331492219524e-21	-2.072621264095703	0.03834086292915935	2.0883331492219524e-21	2.5288373087077843e-23	9.937621136425675e-39	-5.504815474563226	4.1926531313486796e-08	2.182425369757433e-98	-5.504815474563226	4.1926531313486796e-08	2.182425369757433e-98	3.327686859514761e-66	5.038822259815329e-123
