UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	69927
0	1	3880
0	2	2488
0	4	640
0	5	532
0	7	413
0	8	538
0	10	395
0	11	1144
0	13	119
0	14	530
0	15	132
0	17	497
0	18	60
0	20	83
0	21	389
0	22	44
0	24	209
0	26	101
0	27	273
0	29	274
0	30	125
0	32	186
0	34	176
0	35	132
0	37	59
0	38	375
0	40	183
0	41	259
0	43	121
0	45	32
0	46	273
0	48	97
0	49	18
0	51	52
0	53	95
0	54	11
0	56	120
0	57	324
0	59	154
0	61	34
0	62	68
0	65	27
0	67	97
0	70	204
0	73	63
0	78	41
0	86	63
0	87	21
0	99	63
0	100	63
0	108	21
1	0	36745939
1	1	3676017
1	2	1924097
1	4	1320449
1	5	592768
1	7	561572
1	8	977942
1	10	448990
1	11	827416
1	13	358031
1	14	771052
1	15	330304
1	17	619651
1	18	317933
1	20	285564
1	21	504542
1	22	245797
1	24	458477
1	26	212841
1	27	399372
1	29	363036
1	30	189606
1	32	328960
1	34	152318
1	35	297797
1	37	261867
1	38	137481
1	40	258296
1	41	118786
1	43	214418
1	45	111576
1	46	202533
1	48	182244
1	49	91170
1	51	157145
1	53	76613
1	54	150583
1	56	135353
1	57	79844
1	59	122776
1	61	53860
1	62	107475
1	64	51895
1	65	97052
1	67	90991
1	68	45686
1	70	73170
1	72	31068
1	73	57297
1	75	58852
1	76	32056
1	78	58698
1	80	30717
1	81	52133
1	83	21756
1	84	41712
1	86	41117
1	87	22105
1	89	43097
1	91	18150
1	92	29665
1	94	31005
1	95	16016
1	97	28540
1	99	16188
1	100	21865
1	102	10677
1	103	21520
1	105	21440
1	106	9073
1	108	15643
1	110	7550
1	111	16644
1	113	12049
1	114	5077
1	116	11428
1	118	4233
1	119	8516
1	121	9657
1	122	5606
1	124	6534
1	125	3270
1	127	9496
1	129	2569
1	130	4568
1	132	6812
1	133	3021
1	135	6172
1	137	3152
1	138	4426
1	140	4192
1	141	1838
1	143	4254
1	144	1557
1	146	6872
1	148	1475
1	149	5957
1	151	3358
1	152	678
1	154	3635
1	156	1094
1	157	2312
1	159	2405
1	160	126
1	162	383
1	164	70
1	165	176
1	167	107
1	168	458
1	170	337
1	171	11
1	173	103
1	175	111
1	176	202
1	178	176
1	179	19
1	181	7
1	183	199
1	184	47
1	186	27
1	187	98
1	189	23
1	192	39
1	195	18
1	197	9
1	198	15
1	203	63
1	205	63
1	206	18
2	0	7547657
2	1	2176792
2	2	1454005
2	4	1020360
2	5	480661
2	7	437496
2	8	790199
2	10	401655
2	11	709199
2	13	321626
2	14	642803
2	15	322031
2	17	642389
2	18	288827
2	20	279352
2	21	572337
2	22	260316
2	24	513146
2	26	232947
2	27	473021
2	29	446717
2	30	204469
2	32	394434
2	34	193913
2	35	357574
2	37	326349
2	38	171176
2	40	309812
2	41	160757
2	43	287409
2	45	136772
2	46	278305
2	48	254171
2	49	132997
2	51	245422
2	53	116004
2	54	224598
2	56	200164
2	57	93696
2	59	192582
2	61	101937
2	62	178648
2	64	85039
2	65	173354
2	67	154878
2	68	75715
2	70	139191
2	72	61284
2	73	122449
2	75	113692
2	76	53381
2	78	108281
