UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	65615
0	1	2107
0	2	709
0	3	2089
0	4	513
0	6	1071
0	7	425
0	9	362
0	10	1355
0	12	401
0	13	895
0	14	385
0	16	909
0	17	159
0	19	366
0	20	770
0	22	527
0	23	199
0	25	574
0	27	202
0	28	910
0	31	102
0	33	422
0	34	268
0	36	381
0	38	488
0	39	60
0	41	613
0	42	110
0	44	179
0	46	42
0	47	378
0	49	412
0	50	143
0	52	11
0	54	73
0	55	263
0	57	12
0	58	273
0	60	20
0	61	32
0	63	152
0	66	63
0	69	17
0	71	136
0	73	32
0	74	90
0	76	34
0	84	90
0	85	39
0	87	34
0	90	78
0	92	63
0	93	27
0	95	81
0	98	97
0	103	34
0	104	23
0	109	11
0	111	96
0	112	28
0	128	63
0	135	20
0	155	92
1	0	33858521
1	1	1695675
1	2	1033529
1	3	1604613
1	4	658070
1	6	1242109
1	7	584969
1	9	558154
1	10	1061477
1	12	495196
1	13	898870
1	14	418070
1	16	816480
1	17	388481
1	19	384178
1	20	710024
1	22	675598
1	23	311892
1	25	591573
1	27	274443
1	28	541079
1	30	273086
1	31	512044
1	33	469441
1	34	223325
1	36	412440
1	38	191244
1	39	397222
1	41	373975
1	42	172229
1	44	331129
1	46	167743
1	47	275408
1	49	275042
1	50	136515
1	52	247655
1	54	126206
1	55	229629
1	57	104619
1	58	204309
1	60	178686
1	61	93808
1	63	172407
1	65	80860
1	66	153134
1	68	140083
1	69	72878
1	71	134350
1	73	61394
1	74	117563
1	76	126023
1	77	56991
1	79	105066
1	81	49742
1	82	96171
1	84	44099
1	85	83769
1	87	75239
1	88	35946
1	90	69963
1	92	31882
1	93	58610
1	95	55202
1	96	25393
1	98	51148
1	100	22546
1	101	43220
1	103	34449
1	104	17571
1	106	34808
1	108	14688
1	109	30941
1	111	19959
1	112	26544
1	114	26022
1	115	13446
1	117	22829
1	119	10142
1	120	18958
1	122	17309
1	123	8570
1	125	16420
1	127	7130
1	128	12274
1	130	12832
1	131	6595
1	133	9941
1	135	5181
1	136	9373
1	138	4050
1	139	9087
1	141	10166
1	142	3544
1	144	6731
1	146	3799
1	147	8104
1	149	4065
1	150	2229
1	152	5881
1	154	1782
1	155	3719
1	157	4315
1	158	2125
1	160	3174
1	162	1332
1	163	4588
1	165	639
1	166	1489
1	168	1808
1	169	2538
1	171	4255
1	173	623
1	174	1037
1	176	963
1	177	817
1	179	295
1	181	240
1	182	601
1	184	224
1	185	21
1	187	419
1	189	157
1	190	488
1	192	168
1	193	347
1	195	456
1	196	19
1	198	27
1	200	13
1	203	16
1	206	26
1	208	67
1	209	11
1	211	84
1	214	31
2	0	7024510
2	1	1083005
2	2	696979
2	3	1086781
2	4	504267
2	6	899506
2	7	444806
2	9	427300
2	10	811384
2	12	396728
2	13	737813
2	14	349367
2	16	684698
2	17	318999
2	19	303545
2	20	614909
2	22	565911
2	23	270639
2	25	536400
2	27	259720
2	28	503053
2	30	229723
2	31	467443
2	33	434781
2	34	214555
2	36	393041
2	38	192862
2	39	386187
2	41	355326
2	42	162359
2	44	321158
2	46	169161
2	47	300780
2	49	281980
2	50	134365
2	52	277358
2	54	124669
2	55	249187
2	57	119609
2	58	227620
2	60	214404
2	61	106189
2	63	196408
2	65	99402
2	66	187662
2	68	173078
2	69	82384
2	71	158349
2	73	77330
2	74	137300
2	76	125198
2	77	64284
2	79	117761
2	81	59052
2	82	116849
2	84	53883
2	85	97300
2	87	90826
2	88	44844
2	90	88107
2	92	44323
2	93	80801
2	95	76192
2	96	38595
2	98	65308
2	100	29292
2	101	58640
2	103	55917
2	104	29062
2	106	51442
2	108	23311
2	109	44394
2	111	25700
2	112	45801
2	114	41466
2	115	20197
2	117	34808
2	119	16109
2	120	34649
2	122	28473
2	123	14500
2	125	28762
2	127	15577
2	128	26429
2	130	22864
2	131	10326
2	133	17327
2	135	9264
2	136	18212
2	138	10242
2	139	16302
2	141	17516
2	142	6379
2	144	13905
2	146	6072
2	147	11300
2	149	11046
2	150	6340
2	152	12332
2	154	4788
2	155	7668
2	157	9971
2	158	3006
2	160	7515
2	162	2762
2	163	4989
2	165	2483
2	166	4972
2	168	3287
2	169	2044
2	171	4146
2	173	2267
2	174	3778
2	176	3768
2	177	1276
2	179	1895
2	181	2290
2	182	2339
2	184	2017
2	185	978
2	187	1364
2	189	552
2	190	2411
2	192	444
2	193	1047
2	195	630
2	196	191
2	198	932
2	200	182
2	201	395
2	203	76
2	204	54
2	206	163
2	208	3135
2	209	155
2	211	320
2	212	93
2	214	97
2	216	76
3	0	2168541
3	1	582680
3	2	411933
3	3	674557
3	4	301665
3	6	544884
3	7	251495
3	9	250907
3	10	483442
3	12	243474
3	13	474951
3	14	232919
3	16	456665
3	17	219673
3	19	201863
3	20	415108
3	22	403592
3	23	193797
3	25	381776
3	27	186159
3	28	370863
3	30	188290
3	31	366060
3	33	348404
3	34	170903
3	36	328669
3	38	155812
3	39	307246
3	41	288453
3	42	144682
3	44	262029
3	46	135127
3	47	265785
3	49	240835
3	50	120890
3	52	228552
3	54	111151
3	55	220409
3	57	112774
3	58	205895
3	60	202058
3	61	98767
3	63	175020
3	65	87007
3	66	173566
3	68	163859
3	69	80054
3	71	161177
3	73	75324
3	74	146786
3	76	133227
3	77	65699
3	79	123588
3	81	55678
3	82	117281
3	84	59496
3	85	109077
3	87	109610
3	88	47237
3	90	97450
3	92	44441
3	93	83556
3	95	86199
3	96	38283
3	98	81975
3	100	38254
3	101	74639
3	103	63723
3	104	34350
3	106	59970
3	108	25738
3	109	52953
3	111	27391
3	112	50950
3	114	52920
3	115	24416
3	117	48023
3	119	19667
3	120	39374
3	122	38559
3	123	21834
3	125	36160
3	127	17265
3	128	32118
3	130	34417
3	131	13003
3	133	27786
3	135	13344
3	136	27728
3	138	10842
3	139	24346
3	141	25509
3	142	11465
3	144	19139
3	146	11265
3	147	15605
3	149	17096
3	150	6574
3	152	13640
3	154	5957
3	155	13392
3	157	11098
3	158	6482
3	160	9175
3	162	4320
3	163	8377
3	165	4536
3	166	5958
3	168	6504
3	169	2836
3	171	5766
3	173	2475
3	174	5134
3	176	6655
3	177	1896
3	179	4316
3	181	2365
3	182	3373
3	184	2157
3	185	1136
3	187	2190
3	189	949
3	190	1897
3	192	716
3	193	1396
3	195	1256
3	196	1030
3	198	1065
3	200	536
3	201	591
3	203	389
3	204	338
3	206	850
3	208	257
3	209	270
3	211	403
3	212	82
3	214	210
3	216	53
4	0	1837633
4	1	629977
4	2	491154
4	3	816474
4	4	377368
4	6	698199
4	7	375157
4	9	335651
4	10	653593
4	12	312174
4	13	639905
4	14	320780
4	16	624069
4	17	291484
4	19	292156
4	20	591782
4	22	559018
4	23	281017
4	25	564563
4	27	272555
4	28	525679
4	30	252894
4	31	517541
4	33	509688
4	34	260907
4	36	519063
4	38	250558
4	39	454012
4	41	448916
4	42	230401
4	44	434490
4	46	203145
4	47	407067
4	49	400252
4	50	187484
4	52	372824
4	54	186835
4	55	362535
4	57	177230
4	58	351839
4	60	328654
4	61	158295
4	63	316717
4	65	154776
4	66	280434
4	68	308618
4	69	139711
4	71	265255
4	73	122653
4	74	248638
4	76	252414
4	77	114588
4	79	231997
4	81	115686
4	82	211141
4	84	108476
4	85	189309
4	87	218983
4	88	107088
4	90	190928
4	92	93794
4	93	179941
4	95	172792
4	96	79030
4	98	156645
4	100	74397
4	101	158944
4	103	153059
4	104	67239
4	106	124879
4	108	59892
4	109	115513
4	111	61504
4	112	126728
4	114	105655
4	115	49339
4	117	100722
4	119	53404
4	120	94931
4	122	84298
4	123	40589
4	125	74729
4	127	36437
4	128	79004
4	130	84161
4	131	33511
4	133	70620
4	135	29456
4	136	62724
4	138	26649
4	139	54230
4	141	54121
4	142	24941
4	144	45541
4	146	19508
4	147	40994
4	149	44521
4	150	15324
4	152	36708
4	154	22358
4	155	30023
4	157	22189
4	158	12361
4	160	25472
4	162	13961
4	163	27552
