UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	1344
1	1	121
1	2	65
1	4	22
1	5	23
1	7	13
1	8	21
1	10	10
1	11	17
1	13	14
1	14	13
1	15	5
1	17	9
1	18	7
1	20	2
1	21	7
1	22	8
1	24	8
1	26	4
1	27	13
1	29	10
1	30	1
1	32	10
1	34	2
1	35	7
1	37	8
1	38	1
1	40	5
1	41	1
1	43	4
1	45	1
1	46	2
1	48	3
1	49	1
1	51	4
1	53	1
1	54	4
1	57	3
1	59	4
1	62	1
1	64	1
1	67	2
1	70	2
1	75	2
1	78	1
1	81	2
1	83	1
1	94	2
1	97	1
1	102	1
1	105	1
1	108	2
1	113	2
1	114	1
1	116	1
1	140	1
1	146	1
2	0	710
2	1	144
2	2	78
2	4	57
2	5	28
2	7	22
2	8	55
2	10	26
2	11	32
2	13	14
2	14	41
2	15	20
2	17	43
2	18	15
2	20	22
2	21	27
2	22	12
2	24	28
2	26	12
2	27	19
2	29	24
2	30	6
2	32	13
2	34	12
2	35	18
2	37	18
2	38	12
2	40	15
2	41	14
2	43	27
2	45	9
2	46	22
2	48	22
2	49	14
2	51	11
2	53	5
2	54	7
2	56	14
2	57	7
2	59	7
2	61	8
2	62	6
2	64	8
2	65	8
2	67	13
2	68	6
2	70	9
2	72	1
2	73	7
2	75	6
2	76	3
2	78	4
2	80	4
2	81	1
2	83	2
2	84	4
2	86	4
2	89	4
2	91	1
2	92	4
2	94	5
2	97	3
2	100	2
2	102	1
2	103	1
2	105	3
2	108	6
2	111	1
2	113	2
2	116	1
2	119	2
2	121	1
2	122	1
2	125	1
2	129	1
2	132	1
2	137	1
2	138	1
2	140	1
2	160	1
2	173	1
3	0	222
3	1	110
3	2	116
3	4	73
3	5	35
3	7	32
3	8	42
3	10	17
3	11	42
3	13	31
3	14	51
3	15	23
3	17	49
3	18	26
3	20	14
3	21	46
3	22	22
3	24	45
3	26	34
3	27	44
3	29	32
3	30	13
3	32	30
3	34	19
3	35	28
3	37	27
3	38	13
3	40	23
3	41	13
3	43	22
3	45	11
3	46	28
3	48	21
3	49	14
3	51	25
3	53	12
3	54	20
3	56	15
3	57	8
3	59	24
3	61	7
3	62	14
3	64	12
3	65	26
3	67	15
3	68	5
3	70	16
3	72	8
3	73	15
3	75	10
3	76	3
3	78	13
3	80	4
3	81	12
3	83	7
3	84	10
3	86	7
3	87	1
3	89	12
3	91	5
3	92	10
3	94	9
3	95	4
3	97	10
3	99	2
3	100	7
3	102	3
3	103	12
3	105	6
3	106	3
3	108	4
3	110	2
3	111	4
3	113	5
