UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	1322
1	1	59
1	2	27
1	3	37
1	4	16
1	6	31
1	7	20
1	9	20
1	10	22
1	12	5
1	13	18
1	14	14
1	16	13
1	17	3
1	19	3
1	20	15
1	22	18
1	23	9
1	25	17
1	27	3
1	28	12
1	30	4
1	31	9
1	33	5
1	34	6
1	36	8
1	38	8
1	39	12
1	41	12
1	42	5
1	44	3
1	46	3
1	47	6
1	49	4
1	50	1
1	52	4
1	54	4
1	55	5
1	57	1
1	58	3
1	60	2
1	61	1
1	63	6
1	66	1
1	68	3
1	69	1
1	71	2
1	73	1
1	76	4
1	79	1
1	82	3
1	84	1
1	85	1
1	87	3
1	101	1
1	103	2
1	109	1
1	115	1
1	136	1
2	0	760
2	1	85
2	2	50
2	3	62
2	4	33
2	6	52
2	7	30
2	9	23
2	10	51
2	12	23
2	13	27
2	14	18
2	16	31
2	17	19
2	19	18
2	20	29
2	22	32
2	23	17
2	25	24
2	27	10
2	28	24
2	30	7
2	31	21
2	33	18
2	34	12
2	36	20
2	38	16
2	39	18
2	41	12
2	42	7
2	44	12
2	46	12
2	47	14
2	49	13
2	50	10
2	52	17
2	54	4
2	55	11
2	57	9
2	58	5
2	60	8
2	61	6
2	63	12
2	65	5
2	66	10
2	68	8
2	69	4
2	71	5
2	73	4
2	74	6
2	76	4
2	77	4
2	79	11
2	81	2
2	82	4
2	84	1
2	85	5
2	87	3
2	88	2
2	90	8
2	92	2
2	93	2
2	95	4
2	96	2
2	98	3
2	100	2
2	101	1
2	103	3
2	104	2
2	106	2
2	108	2
2	109	4
2	111	2
2	112	3
2	114	1
2	115	1
2	120	1
2	122	2
2	127	2
2	133	3
2	135	2
2	141	1
2	144	1
2	146	1
2	147	1
2	155	1
2	162	1
2	168	1
2	179	1
3	0	342
3	1	72
3	2	61
3	3	74
3	4	29
3	6	65
3	7	36
3	9	29
3	10	54
3	12	27
3	13	55
3	14	18
3	16	39
3	17	16
3	19	22
3	20	34
3	22	39
3	23	23
3	25	29
3	27	20
3	28	34
3	30	20
3	31	25
3	33	41
3	34	21
3	36	27
3	38	17
3	39	27
3	41	26
3	42	11
3	44	33
3	46	9
3	47	21
3	49	17
3	50	9
3	52	12
3	54	15
3	55	12
3	57	15
3	58	20
3	60	12
3	61	13
3	63	15
3	65	5
3	66	12
3	68	7
3	69	11
3	71	9
3	73	4
3	74	15
3	76	14
3	77	4
3	79	13
3	81	4
3	82	5
3	84	3
3	85	14
3	87	7
3	88	1
3	90	13
3	92	7
3	93	6
3	95	10
3	96	2
3	98	2
3	100	5
3	101	9
3	103	5
3	104	1
3	106	7
3	108	3
3	109	4
3	111	3
3	112	9
3	114	6
3	115	3
3	117	1
3	119	3
3	120	5
3	122	6
3	123	3
3	125	2
3	127	3
3	128	2
3	130	2
3	131	1
3	133	3
3	135	1
3	136	3
3	138	1
3	139	1
3	141	4
3	142	2
3	144	3
3	147	4
3	149	1
3	150	1
3	152	2
3	154	1
3	166	1
3	169	2
3	171	1
3	173	1
