bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-7.9863930073459235	2.4386440638749496e-15	1.0257087535351365e-21	-7.9863930073459235	2.4386440638749496e-15	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-13.577833498928406	4.497714377965561e-40	1.085415779413373e-92	-13.577833498928406	4.497714377965561e-40	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
2	-6.65185734484748	3.815407060839589e-11	1.0257087535351365e-21	-6.65185734484748	3.815407060839589e-11	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-10.741014134605335	3.888710399446031e-26	1.085415779413373e-92	-10.741014134605335	3.888710399446031e-26	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
3	-1.9109222710661808	0.0561713226276513	1.0257087535351365e-21	-1.9109222710661808	0.0561713226276513	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-5.646549553812459	1.8951084386297524e-08	1.085415779413373e-92	-5.646549553812459	1.8951084386297524e-08	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
4	-1.611552297697786	0.1072326688036122	1.0257087535351365e-21	-1.611552297697786	0.1072326688036122	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-5.164810459860092	2.6703403214604705e-07	1.085415779413373e-92	-5.164810459860092	2.6703403214604705e-07	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
5	-2.1789913369775187	0.029460099766579807	1.0257087535351365e-21	-2.1789913369775187	0.029460099766579807	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-3.994828284865367	6.731776092843657e-05	1.085415779413373e-92	-3.994828284865367	6.731776092843657e-05	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
6	-2.1666282345255103	0.0303924386411308	1.0257087535351365e-21	-2.1666282345255103	0.0303924386411308	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-3.9984452267519313	6.630484108806315e-05	1.085415779413373e-92	-3.9984452267519313	6.630484108806315e-05	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
7	-0.8289767762058171	0.40722616841687276	1.0257087535351365e-21	-0.8289767762058171	0.40722616841687276	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-1.8893780178198367	0.058999897878576756	1.085415779413373e-92	-1.8893780178198367	0.058999897878576756	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
8	0.007473289975386873	0.9940380507341112	1.0257087535351365e-21	0.007473289975386873	0.9940380507341112	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-4.721415582509023	2.520951741146906e-06	1.085415779413373e-92	-4.721415582509023	2.520951741146906e-06	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
9	-1.02203225391936	0.30690134934132496	1.0257087535351365e-21	-1.02203225391936	0.30690134934132496	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-5.161459381638271	2.7178485649281547e-07	1.085415779413373e-92	-5.161459381638271	2.7178485649281547e-07	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
10	-1.7821251521268	0.0748952613499069	1.0257087535351365e-21	-1.7821251521268	0.0748952613499069	1.0257087535351365e-21	5.455806842600133e-24	7.382028183795954e-39	-5.425635897306622	6.547058798493297e-08	1.085415779413373e-92	-5.425635897306622	6.547058798493297e-08	1.085415779413373e-92	2.625452206245034e-63	5.542061659078776e-115
