UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	67064
0	1	3718
0	2	2364
0	4	608
0	5	504
0	7	396
0	8	513
0	10	380
0	11	1107
0	13	110
0	14	508
0	15	121
0	17	472
0	18	57
0	20	77
0	21	369
0	22	40
0	24	198
0	26	97
0	27	257
0	29	265
0	30	122
0	32	176
0	34	167
0	35	132
0	37	57
0	38	374
0	40	172
0	41	257
0	43	117
0	45	32
0	46	271
0	48	95
0	49	18
0	51	48
0	53	93
0	54	11
0	56	120
0	57	320
0	59	150
0	61	34
0	62	68
0	65	27
0	67	95
0	70	204
0	73	61
0	78	37
0	86	61
0	87	18
0	99	61
0	100	61
0	108	18
1	0	35172212
1	1	3526169
1	2	1844940
1	4	1266563
1	5	568454
1	7	537441
1	8	939306
1	10	431119
1	11	793369
1	13	343409
1	14	742291
1	15	317592
1	17	595898
1	18	304837
1	20	274291
1	21	484311
1	22	235218
1	24	438747
1	26	202532
1	27	384164
1	29	348685
1	30	181391
1	32	316041
1	34	146248
1	35	285910
1	37	251813
1	38	131377
1	40	247842
1	41	113676
1	43	205856
1	45	106988
1	46	194343
1	48	174280
1	49	86303
1	51	149919
1	53	73281
1	54	144702
1	56	130066
1	57	77055
1	59	117145
1	61	51658
1	62	103437
1	64	49558
1	65	91721
1	67	87052
1	68	43811
1	70	69235
1	72	29806
1	73	55140
1	75	56796
1	76	30717
1	78	55734
1	80	29659
1	81	49801
1	83	20986
1	84	39499
1	86	39518
1	87	21123
1	89	41331
1	91	17749
1	92	28662
1	94	29855
1	95	15308
1	97	27268
1	99	15620
1	100	21189
1	102	10161
1	103	20684
1	105	20614
1	106	8696
1	108	14999
1	110	7138
1	111	15953
1	113	11653
1	114	4832
1	116	11000
1	118	3876
1	119	8137
1	121	8999
1	122	5349
1	124	6287
1	125	3099
1	127	9279
1	129	2430
1	130	4393
1	132	6606
1	133	2978
1	135	5969
1	137	3082
1	138	4330
1	140	4051
1	141	1803
1	143	4208
1	144	1527
1	146	6752
1	148	1443
1	149	5811
1	151	3269
1	152	642
1	154	3357
1	156	1066
1	157	2260
1	159	2373
1	160	125
1	162	378
1	164	64
1	165	168
1	167	101
1	168	432
1	170	313
1	171	11
1	173	100
1	175	110
1	176	198
1	178	169
1	179	19
1	181	6
1	183	186
1	184	45
1	186	26
1	187	93
1	189	23
1	192	36
1	195	18
1	197	9
1	198	15
1	203	61
1	205	61
1	206	17
2	0	7247700
2	1	2078951
2	2	1384195
2	4	973418
2	5	458810
2	7	416468
2	8	753394
2	10	382451
2	11	677554
2	13	306599
2	14	610882
2	15	305927
2	17	611330
2	18	274154
2	20	265365
2	21	543889
2	22	249042
2	24	490179
2	26	222819
2	27	450181
2	29	422721
2	30	195392
2	32	376066
2	34	184424
2	35	338073
2	37	310633
2	38	162819
2	40	293646
2	41	152737
2	43	273129
2	45	130083
2	46	264494
2	48	240735
2	49	126717
2	51	233815
2	53	110195
2	54	213243
2	56	190536
2	57	88730
2	59	184268
2	61	96809
2	62	169598
2	64	80742
2	65	164629
2	67	147980
2	68	72185
2	70	132339
2	72	57685
2	73	115912
2	75	105255
2	76	51148
2	78	103373
2	80	49408
2	81	89885
2	83	44343
2	84	86964
2	86	80480
2	87	41740
2	89	71877
2	91	35203
2	92	66520
2	94	64906
2	95	32955
2	97	54083
2	99	29601
2	100	41967
2	102	21220
2	103	45030
2	105	40482
2	106	18684
2	108	38842
2	110	15670
2	111	32380
2	113	30011
2	114	11470
2	116	26891
2	118	10342
2	119	19612
2	121	21377
2	122	9011
2	124	18153
2	125	7805
2	127	15743
2	129	7400
2	130	13341
2	132	14000
2	133	8455
2	135	13576
2	137	3944
2	138	6935
2	140	7981
2	141	4332
2	143	7381
2	144	2499
2	146	10590
2	148	2512
2	149	5836
2	151	6520
2	152	3923
2	154	3702
2	156	1793
2	157	3026
2	159	3632
2	160	1299
2	162	3778
2	164	1950
2	165	3228
2	167	1007
2	168	3153
2	170	1966
2	171	883
2	173	2694
2	175	765
2	176	1684
2	178	1649
2	179	175
2	181	1095
2	183	560
