UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	62931
0	1	2029
0	2	681
0	3	1983
0	4	485
0	6	1037
0	7	404
0	9	351
0	10	1327
0	12	373
0	13	854
0	14	366
0	16	857
0	17	146
0	19	352
0	20	756
0	22	518
0	23	193
0	25	556
0	27	195
0	28	866
0	31	98
0	33	408
0	34	260
0	36	368
0	38	455
0	39	55
0	41	586
0	42	104
0	44	177
0	46	36
0	47	366
0	49	393
0	50	141
0	52	11
0	54	69
0	55	248
0	57	11
0	58	255
0	60	19
0	61	32
0	63	149
0	66	61
0	69	11
0	71	131
0	73	32
0	74	86
0	76	34
0	84	86
0	85	36
0	87	34
0	90	77
0	92	61
0	93	27
0	95	79
0	98	95
0	103	34
0	104	22
0	109	11
0	111	88
0	112	28
0	128	61
0	135	19
0	155	88
1	0	32406577
1	1	1626330
1	2	990478
1	3	1538890
1	4	631722
1	6	1192010
1	7	560782
1	9	535358
1	10	1018076
1	12	474911
1	13	861700
1	14	400484
1	16	785310
1	17	372836
1	19	369319
1	20	681084
1	22	646870
1	23	299193
1	25	568382
1	27	263370
1	28	518334
1	30	261995
1	31	491126
1	33	450216
1	34	214145
1	36	394070
1	38	183800
1	39	380555
1	41	358195
1	42	165317
1	44	318017
1	46	161104
1	47	263909
1	49	263313
1	50	130111
1	52	237676
1	54	120958
1	55	220521
1	57	100478
1	58	195623
1	60	171720
1	61	90044
1	63	164820
1	65	77072
1	66	146954
1	68	133696
1	69	69660
1	71	128787
1	73	58993
1	74	112936
1	76	120901
1	77	54812
1	79	101113
1	81	47893
1	82	92231
1	84	42198
1	85	80578
1	87	72297
1	88	34462
1	90	66737
1	92	30433
1	93	56283
1	95	52895
1	96	24451
1	98	49093
1	100	21746
1	101	41634
1	103	33251
1	104	16943
1	106	33414
1	108	14068
1	109	29515
1	111	19040
1	112	25468
1	114	24937
1	115	13076
1	117	21797
1	119	9671
1	120	18177
1	122	16500
1	123	8267
1	125	15784
1	127	6826
1	128	11899
1	130	12370
1	131	6367
1	133	9582
1	135	4980
1	136	8873
1	138	3908
1	139	8665
1	141	9808
1	142	3411
1	144	6020
1	146	3470
1	147	7768
1	149	3803
1	150	2121
1	152	5567
1	154	1700
1	155	3568
1	157	4083
1	158	1993
1	160	3105
1	162	1291
1	163	4433
1	165	610
1	166	1458
1	168	1504
1	169	2363
1	171	4020
1	173	589
1	174	1012
1	176	934
1	177	802
1	179	284
1	181	235
1	182	522
1	184	218
1	185	21
1	187	405
1	189	136
1	190	481
1	192	151
1	193	325
1	195	447
1	196	18
1	198	25
1	200	13
1	203	16
1	206	25
1	208	66
1	209	11
1	211	82
1	214	31
2	0	6730550
2	1	1034959
2	2	666036
2	3	1036131
2	4	480808
2	6	857296
2	7	425682
2	9	407712
2	10	773970
2	12	377506
2	13	703107
2	14	332846
2	16	651933
2	17	304615
2	19	289841
2	20	587179
2	22	539912
2	23	258112
2	25	510125
2	27	247388
2	28	479080
2	30	218269
2	31	444920
2	33	413335
2	34	204095
2	36	375461
2	38	183487
2	39	368112
2	41	339742
2	42	155195
2	44	306486
2	46	161593
2	47	286065
2	49	267637
2	50	128709
2	52	263848
2	54	118233
2	55	237280
2	57	113093
2	58	216280
2	60	202789
2	61	100726
2	63	186954
2	65	94607
2	66	178612
2	68	164914
2	69	78812
2	71	150378
2	73	73449
2	74	130721
2	76	119333
2	77	61281
2	79	112145
2	81	56262
2	82	111284
2	84	51234
2	85	92207
2	87	86129
2	88	41447
2	90	84181
2	92	42318
2	93	76893
2	95	72626
2	96	36560
2	98	62162
2	100	27201
2	101	55794
2	103	53067
