UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	36
1	1	3
1	2	1
1	4	1
1	5	1
1	7	1
1	11	1
1	17	1
1	21	2
1	22	1
1	32	1
1	34	1
1	40	1
1	51	1
1	64	1
1	94	1
2	0	14
2	1	1
2	2	2
2	4	2
2	7	1
2	8	3
2	10	2
2	13	1
2	14	2
2	15	2
2	21	2
2	22	2
2	24	1
2	27	3
2	29	1
2	35	1
2	37	2
2	38	1
2	48	2
2	49	1
2	51	1
2	59	3
2	70	1
2	75	1
2	113	1
3	0	6
3	1	2
3	2	6
3	4	2
3	5	1
3	7	1
3	8	1
3	11	1
3	13	1
3	17	1
3	18	1
3	21	1
3	24	2
3	27	1
3	30	1
3	32	1
3	35	2
3	37	2
3	45	1
3	57	1
3	61	2
3	64	1
3	65	1
3	67	1
3	70	1
3	73	2
3	75	1
3	81	1
3	86	2
3	87	1
3	92	1
3	121	1
3	149	1
3	156	1
3	157	1
4	0	2
4	1	1
4	2	2
4	4	4
4	5	1
4	7	1
4	8	1
4	10	1
4	11	3
4	14	1
4	15	1
4	17	3
4	21	4
4	24	1
4	29	1
4	37	1
4	38	1
4	40	1
4	41	2
4	43	1
4	45	1
4	46	2
4	48	1
4	49	1
4	54	1
4	57	1
4	62	2
4	65	1
4	67	1
4	68	1
4	70	1
4	72	1
4	73	1
4	89	1
4	95	2
4	103	1
4	106	1
4	138	1
5	0	2
5	1	3
5	2	1
5	4	1
5	7	1
5	11	3
5	13	1
5	15	1
5	18	1
5	21	1
5	22	1
5	27	1
5	29	2
5	30	1
5	35	1
5	37	1
5	40	2
5	43	2
5	48	2
5	51	1
5	53	1
5	54	1
5	59	3
5	65	1
5	67	2
5	68	1
5	73	1
5	80	1
5	84	1
5	87	1
5	91	1
5	92	1
5	94	1
5	105	1
5	111	1
5	129	2
5	130	3
5	165	1
6	0	3
6	4	1
6	8	2
6	11	1
6	13	1
6	15	2
6	17	2
6	21	1
6	27	1
6	30	1
6	34	1
6	46	1
6	48	1
6	54	1
6	57	1
6	62	4
6	64	1
6	65	1
6	73	1
6	75	1
6	76	1
6	87	1
6	91	1
6	94	1
6	100	1
6	106	1
6	111	1
6	118	1
6	119	1
6	121	1
6	130	1
6	135	1
6	138	1
6	141	1
6	146	1
6	149	1
6	151	1
6	154	1
6	159	1
6	160	1
6	168	2
6	170	1
6	176	1
6	187	1
7	0	3
7	2	2
7	4	2
7	14	1
7	18	1
7	21	1
7	22	1
7	24	2
7	29	1
7	30	1
7	37	1
7	40	1
7	41	1
7	43	2
7	46	1
7	49	2
7	51	2
7	53	1
7	54	1
7	56	1
7	65	1
7	68	1
7	70	1
7	75	1
7	89	3
7	92	1
7	97	1
7	99	2
7	100	1
7	106	1
7	108	1
7	113	1
7	116	1
7	118	1
7	121	1
7	125	1
7	127	1
7	135	1
7	138	2
7	148	1
7	151	1
7	190	1
8	8	2
8	11	1
8	29	4
8	35	1
8	43	1
8	46	1
8	49	1
8	54	1
8	56	1
8	59	2
8	61	1
8	70	1
8	78	1
8	80	1
8	81	1
8	83	1
8	84	1
8	86	1
8	92	1
8	94	1
8	97	1
8	100	1
8	108	1
8	119	1
8	122	1
8	127	2
8	133	1
8	138	1
8	140	2
8	146	2
8	148	1
8	149	1
8	151	1
8	154	2
8	162	1
8	165	2
8	167	1
8	168	1
8	170	1
8	173	1
8	176	1
8	178	1
8	190	1
9	43	1
9	54	2
9	56	1
9	65	2
9	67	2
9	72	1
9	75	1
9	78	2
9	83	1
9	89	1
9	94	1
9	95	1
9	103	1
9	105	1
9	108	1
9	113	1
9	114	1
9	116	1
9	119	4
9	122	1
9	125	1
9	129	1
9	132	2
9	138	1
9	140	1
9	141	1
9	143	1
9	146	3
9	152	2
9	159	1
9	160	2
9	162	1
9	165	1
9	173	2
9	176	1
9	178	1
9	187	1
9	189	1
9	190	1
9	195	1
10	2	1
10	61	1
10	62	1
10	81	1
10	83	1
10	84	1
10	86	1
10	105	1
10	108	1
10	114	1
10	119	1
10	121	1
10	122	1
10	124	1
10	125	1
10	132	1
10	135	1
10	138	1
10	140	1
10	146	2
10	149	3
10	154	1
10	156	1
10	157	2
10	159	1
10	165	1
10	168	1
10	170	1
10	175	1
10	176	2
10	178	1
10	181	1
10	187	3
10	189	1
10	192	5
10	194	1
10	195	1
10	197	2
10	200	3
10	203	1
