UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	39
1	2	1
1	4	1
1	10	1
1	13	4
1	16	1
1	22	1
1	23	1
1	25	2
1	27	1
1	34	1
1	166	1
2	0	14
2	1	3
2	2	1
2	3	5
2	4	1
2	6	2
2	7	3
2	9	1
2	12	1
2	13	1
2	19	2
2	20	2
2	22	1
2	25	4
2	28	2
2	31	1
2	33	1
2	41	2
2	54	1
2	60	1
2	71	1
2	96	1
2	115	1
2	139	1
3	0	7
3	3	4
3	7	2
3	9	1
3	10	5
3	12	1
3	16	4
3	20	1
3	22	1
3	25	1
3	27	3
3	36	2
3	41	1
3	44	2
3	47	3
3	52	1
3	57	2
3	60	1
3	74	1
3	76	1
3	79	3
3	81	1
3	82	1
3	103	1
3	122	1
3	139	1
3	152	1
4	0	5
4	1	2
4	2	4
4	3	4
4	6	2
4	7	1
4	9	1
4	13	2
4	14	2
4	16	2
4	20	3
4	23	1
4	27	1
4	30	1
4	31	2
4	33	5
4	36	1
4	38	1
4	41	3
4	49	1
4	52	1
4	58	1
4	66	1
4	87	1
4	93	1
4	114	1
4	119	1
4	125	1
4	149	1
4	157	1
5	0	2
5	1	2
5	4	2
5	6	2
5	7	2
5	10	1
5	12	2
5	13	3
5	16	3
5	17	2
5	25	1
5	27	2
5	33	3
5	36	2
5	38	1
5	39	3
5	41	1
5	42	1
5	47	1
5	49	1
5	52	3
5	55	1
5	58	2
5	63	1
5	68	1
5	74	1
5	90	1
5	95	1
5	106	1
5	108	1
5	122	1
5	130	1
5	138	1
6	0	4
6	1	2
6	3	1
6	4	1
6	6	1
6	9	1
6	13	1
6	14	4
6	16	1
6	20	2
6	25	1
6	27	1
6	28	1
6	31	1
6	33	2
6	34	1
6	38	1
6	42	2
6	46	2
6	49	2
6	52	3
6	61	2
6	63	1
6	71	2
6	73	1
6	81	1
6	82	1
6	90	1
6	95	3
6	96	1
6	106	1
6	119	1
6	125	1
6	135	1
6	163	1
7	0	3
7	1	4
7	3	1
7	4	1
7	6	2
7	10	1
7	13	3
7	14	1
7	17	1
7	19	1
7	23	1
7	27	2
7	28	1
7	30	1
7	31	3
7	33	1
7	34	1
7	36	1
7	39	2
7	44	1
7	52	1
7	54	1
7	57	1
7	58	2
7	63	1
7	68	3
7	79	1
7	81	1
7	90	1
7	93	1
7	95	1
7	101	1
7	103	1
7	112	1
7	125	1
7	128	1
7	133	1
7	139	1
7	149	1
8	0	2
8	6	2
8	7	1
8	9	1
8	10	2
8	13	1
8	16	1
8	19	1
8	20	1
8	22	1
8	27	1
8	28	2
8	30	1
8	31	2
8	33	1
8	36	1
8	38	1
8	39	1
8	41	1
8	44	1
8	47	2
8	49	3
8	55	2
8	57	1
8	60	1
8	68	1
8	73	1
8	74	1
8	76	1
8	90	2
8	93	1
8	95	1
8	100	2
8	106	1
8	120	1
8	133	1
8	136	1
8	139	1
8	147	1
8	162	1
8	165	1
8	182	1
9	0	1
9	6	1
9	7	1
9	20	1
9	25	2
9	31	1
9	33	1
9	39	2
9	42	1
9	49	1
9	54	2
9	55	1
9	63	1
9	65	1
9	69	1
9	73	1
9	77	1
9	82	1
9	84	1
9	85	2
9	87	1
9	90	1
9	92	1
9	93	1
9	98	1
9	109	2
9	112	1
9	120	1
9	123	2
9	125	1
9	131	1
9	135	1
9	136	1
9	139	1
9	144	1
9	146	1
9	149	2
9	152	1
9	155	1
9	158	1
9	163	1
9	165	1
9	166	1
9	168	1
9	201	1
9	212	1
10	12	1
10	22	3
10	25	2
10	42	1
10	47	2
10	49	1
10	55	1
10	57	1
10	63	1
10	77	1
10	79	1
10	85	2
10	93	1
10	104	1
10	108	1
10	112	1
10	114	3
10	117	1
10	127	1
10	128	1
10	131	1
10	133	3
10	136	1
10	139	1
10	142	1
10	147	1
10	149	1
10	154	1
10	155	1
10	162	1
10	163	2
10	166	1
10	176	2
10	182	2
10	184	2
10	193	1
10	198	1
10	209	1
10	214	1
10	216	2
