bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	0.08094230493968757	0.9357926952022916	0.16244665867173097	0.08094230493968757	0.9357926952022916	0.16244665867173097	0.8888975618613472	0.19606470795707523	-1.2400561441570437	0.22041638429823396	1.4252349335513974e-06	-1.2400561441570437	0.22041638429823396	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
2	-0.518583978558164	0.6062502223384607	0.16244665867173097	-0.518583978558164	0.6062502223384607	0.16244665867173097	0.8888975618613472	0.19606470795707523	-1.746831855621792	0.08656973578207022	1.4252349335513974e-06	-1.746831855621792	0.08656973578207022	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
3	0.5707239380294945	0.5706445818601682	0.16244665867173097	0.5707239380294945	0.5706445818601682	0.16244665867173097	0.8888975618613472	0.19606470795707523	-0.10928026191177269	0.9134007322799811	1.4252349335513974e-06	-0.10928026191177269	0.9134007322799811	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
4	-2.2330850259059596	0.029788194059321756	0.16244665867173097	-2.2330850259059596	0.029788194059321756	0.16244665867173097	0.8888975618613472	0.19606470795707523	-2.218753754944754	0.030807636559644077	1.4252349335513974e-06	-2.218753754944754	0.030807636559644077	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
5	-1.1881053750530122	0.24018904612558964	0.16244665867173097	-1.1881053750530122	0.24018904612558964	0.16244665867173097	0.8888975618613472	0.19606470795707523	-2.564232949845779	0.013267610528077815	1.4252349335513974e-06	-2.564232949845779	0.013267610528077815	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
6	1.278082111220087	0.2068956578575237	0.16244665867173097	1.278082111220087	0.2068956578575237	0.16244665867173097	0.8888975618613472	0.19606470795707523	-2.4156737064204563	0.019254063154771277	1.4252349335513974e-06	-2.4156737064204563	0.019254063154771277	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
7	-2.5811049384985107	0.012651262766571225	0.16244665867173097	-2.5811049384985107	0.012651262766571225	0.16244665867173097	0.8888975618613472	0.19606470795707523	-3.9821140213549513	0.00020931276168937804	1.4252349335513974e-06	-3.9821140213549513	0.00020931276168937804	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
8	0.6237487345970769	0.5355187759927799	0.16244665867173097	0.6237487345970769	0.5355187759927799	0.16244665867173097	0.8888975618613472	0.19606470795707523	-3.4540358629350387	0.0011066844515208838	1.4252349335513974e-06	-3.4540358629350387	0.0011066844515208838	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
9	0.3944880364070591	0.6948334233515614	0.16244665867173097	0.3944880364070591	0.6948334233515614	0.16244665867173097	0.8888975618613472	0.19606470795707523	-0.3456620926982719	0.7309907459543022	1.4252349335513974e-06	-0.3456620926982719	0.7309907459543022	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
10	0.060763152848982475	0.951776305057979	0.16244665867173097	0.060763152848982475	0.951776305057979	0.16244665867173097	0.8888975618613472	0.19606470795707523	-0.7876226328462066	0.4344247199522929	1.4252349335513974e-06	-0.7876226328462066	0.4344247199522929	1.4252349335513974e-06	0.0946254026126885	3.2132472767300467e-06
