UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	23992
0	1	1427
0	2	886
0	4	454
0	5	168
0	7	293
0	8	303
0	10	216
0	11	553
0	13	96
0	14	212
0	15	49
0	17	125
0	18	53
0	20	54
0	21	278
0	22	70
0	24	96
0	26	102
0	27	96
0	29	138
0	30	46
0	32	42
0	34	40
0	35	74
0	37	47
0	38	42
0	40	62
0	41	11
0	43	24
0	45	9
0	46	64
0	48	35
0	49	12
0	51	30
0	53	11
0	54	40
0	56	29
0	57	15
0	59	21
0	61	1
0	62	12
0	64	8
0	65	7
0	67	2
0	68	2
0	70	5
0	72	7
0	73	9
0	75	22
0	76	42
0	78	23
0	80	2
0	81	9
0	83	8
0	84	2
0	86	20
0	87	3
0	89	8
0	91	4
0	94	1
0	95	1
0	97	5
0	99	6
0	100	3
0	105	1
0	108	5
0	114	1
0	116	1
0	127	1
0	132	1
0	170	1
0	176	1
1	0	687340
1	1	72698
1	2	40796
1	4	27217
1	5	11876
1	7	11208
1	8	20112
1	10	9420
1	11	16563
1	13	7818
1	14	15721
1	15	7107
1	17	13158
1	18	6686
1	20	5936
1	21	10231
1	22	5039
1	24	9948
1	26	4947
1	27	8259
1	29	7725
1	30	3853
1	32	6952
1	34	3451
1	35	6417
1	37	5129
1	38	2884
1	40	5093
1	41	2811
1	43	4944
1	45	2310
1	46	4347
1	48	3949
1	49	1958
1	51	3649
1	53	1947
1	54	3189
1	56	2962
1	57	1625
1	59	2756
1	61	1196
1	62	2428
1	64	1288
1	65	2692
1	67	2124
1	68	992
1	70	1657
1	72	727
1	73	1179
1	75	1218
1	76	685
1	78	1419
1	80	661
1	81	1013
1	83	455
1	84	816
1	86	893
1	87	583
1	89	784
1	91	296
1	92	701
1	94	578
1	95	337
1	97	535
1	99	309
1	100	432
1	102	257
1	103	510
1	105	371
1	106	230
1	108	380
1	110	215
1	111	324
1	113	220
1	114	162
1	116	202
1	118	91
1	119	241
1	121	307
1	122	91
1	124	211
1	125	111
1	127	116
1	129	46
1	130	67
1	132	132
1	133	70
1	135	76
1	137	46
1	138	63
1	140	68
1	141	11
1	143	54
1	144	23
1	146	115
1	148	29
1	149	83
1	151	46
1	152	13
1	154	124
1	156	15
1	157	18
1	159	8
1	160	12
1	162	4
1	164	14
1	165	17
1	167	8
1	168	16
1	170	9
1	171	1
1	173	4
1	175	2
1	176	22
1	178	9
1	181	1
1	183	10
1	187	2
1	189	1
1	192	1
1	203	1
1	205	1
2	0	130632
2	1	44439
2	2	31321
2	4	23965
2	5	10633
2	7	9980
2	8	15844
2	10	9122
2	11	15983
2	13	7983
2	14	15820
2	15	6862
2	17	13765
2	18	6444
2	20	5942
2	21	13487
2	22	5542
2	24	11386
2	26	5369
2	27	10788
2	29	12628
2	30	5158
2	32	9003
2	34	4452
2	35	8895
2	37	7674
2	38	4219
2	40	7196
2	41	3801
2	43	6983
2	45	3199
2	46	6832
2	48	6768
2	49	3519
2	51	5880
2	53	2783
2	54	5290
2	56	4575
2	57	2303
2	59	5080
2	61	2808
2	62	4880
2	64	2330
2	65	3937
2	67	3240
2	68	1652
2	70	3615
2	72	1627
2	73	3015
2	75	2912
2	76	1321
2	78	2655
2	80	1243
2	81	2479
2	83	1212
2	84	2461
2	86	1939
2	87	968
2	89	1670
2	91	934
2	92	1768
2	94	1659
2	95	912
2	97	1510
2	99	923
2	100	1152
2	102	588
2	103	1204
2	105	1310
2	106	454
2	108	947
2	110	471
2	111	908
2	113	697
2	114	296
2	116	705
2	118	431
2	119	855
2	121	642
2	122	199
2	124	433
2	125	239
2	127	429
2	129	200
2	130	370
2	132	314
2	133	160
2	135	237
2	137	90
2	138	181
2	140	244
2	141	151
2	143	141
2	144	39
2	146	277
2	148	87
2	149	128
2	151	100
2	152	45
2	154	106
2	156	29
2	157	53
2	159	67
2	160	31
2	162	95
2	164	55
2	165	33
2	167	17
2	168	53
2	170	50
2	171	31
2	173	22
2	175	27
2	176	27
2	178	50
2	179	2
2	181	15
2	183	12
2	184	13
2	186	4
2	187	3
2	189	4
2	190	4
2	194	1
2	195	1
2	197	3
2	200	2
2	206	5
3	0	37993
3	1	21346
3	2	19460
3	4	13185
3	5	6329
3	7	5406
3	8	11645
3	10	5422
3	11	10891
3	13	6343
3	14	10525
3	15	5559
3	17	10003
3	18	5782
3	20	4577
3	21	9382
3	22	4820
3	24	9319
3	26	4487
3	27	9113
3	29	9277
3	30	4339
3	32	7904
3	34	4558
3	35	7928
3	37	7945
3	38	3651
3	40	7233
3	41	3477
3	43	6464
3	45	3192
3	46	6227
3	48	5974
3	49	2574
3	51	5825
3	53	2848
3	54	5405
3	56	5281
3	57	2685
3	59	5209
3	61	2544
3	62	5077
3	64	2434
3	65	4168
3	67	4208
3	68	2144
3	70	4049
3	72	2027
3	73	3944
3	75	3857
3	76	1526
3	78	3390
3	80	1585
3	81	3219
3	83	1698
3	84	3129
3	86	2690
3	87	1350
3	89	2743
3	91	1321
3	92	2630
3	94	2335
3	95	1229
3	97	2152
3	99	1078
3	100	2123
3	102	951
3	103	1726
3	105	2079
3	106	922
3	108	1407
3	110	927
3	111	1316
3	113	1132
3	114	617
3	116	1145
3	118	614
3	119	1092
3	121	953
3	122	406
3	124	1028
3	125	511
3	127	1220
3	129	496
3	130	673
3	132	720
3	133	278
3	135	639
3	137	212
3	138	640
3	140	498
3	141	170
3	143	346
3	144	210
3	146	282
3	148	172
3	149	458
3	151	274
3	152	179
3	154	315
3	156	160
3	157	362
3	159	307
3	160	69
3	162	145
3	164	81
3	165	165
3	167	129
3	168	277
3	170	102
3	171	69
3	173	77
3	175	39
3	176	53
3	178	34
3	179	39
3	181	111
3	183	33
3	184	61
3	186	7
3	187	25
3	189	73
3	190	11
3	192	29
3	194	12
3	195	11
3	197	7
3	198	14
3	200	31
3	203	4
3	206	1
4	0	28767
4	1	22751
4	2	22006
4	4	16816
4	5	7798
4	7	7293
4	8	15802
4	10	7370
4	11	14842
4	13	7518
4	14	14152
4	15	6888
4	17	14372
4	18	6145
4	20	6913
4	21	14591
4	22	7205
4	24	13410
4	26	7300
4	27	13260
4	29	13406
4	30	6701
4	32	13125
4	34	6189
4	35	12183
4	37	11592
4	38	6079
4	40	11940
4	41	5519
4	43	11983
4	45	5478
4	46	11362
4	48	10982
4	49	5532
4	51	10479
4	53	5308
4	54	10495
4	56	9924
4	57	4888
4	59	9209
4	61	4792
4	62	9510
4	64	4801
4	65	9803
4	67	8486
4	68	4352
4	70	7702
4	72	4053
4	73	7487
4	75	7822
4	76	4058
4	78	7473
4	80	3879
4	81	7541
4	83	3313
4	84	6700
4	86	6607
4	87	3578
4	89	6433
4	91	2916
4	92	5724
4	94	5196
4	95	2355
4	97	4736
4	99	2431
4	100	4741
4	102	2279
4	103	4676
4	105	4485
4	106	2209
4	108	3812
4	110	1679
4	111	4042
4	113	3329
4	114	1666
4	116	3523
4	118	1698
4	119	2756
4	121	2668
4	122	1182
4	124	2438
4	125	1472
4	127	2637
4	129	1389
4	130	2586
4	132	1997
4	133	1131
4	135	1918
4	137	736
4	138	1612
4	140	1542
4	141	848
4	143	1443
4	144	697
4	146	1303
4	148	631
4	149	1247
4	151	1067
4	152	509
4	154	708
4	156	549
4	157	905
4	159	952
4	160	658
4	162	747
4	164	301
4	165	779
4	167	298
4	168	543
4	170	556
4	171	147
4	173	329
4	175	200
4	176	242
4	178	262
4	179	86
4	181	290
4	183	65
4	184	155
4	186	53
4	187	159
4	189	155
4	190	33
4	192	54
4	194	45
4	195	122
4	197	66
4	198	5
4	200	23
4	202	2
4	203	15
4	205	4
4	206	3
5	0	10655
5	1	9963
5	2	12465
5	4	8615
5	5	4332
5	7	4563
5	8	8676
5	10	3853
5	11	8368
5	13	3541
5	14	7607
5	15	4046
5	17	8184
5	18	4203
5	20	4517
5	21	8568
5	22	4027
5	24	8116
5	26	3908
5	27	8559
5	29	9352
5	30	4765
5	32	9117
5	34	4960
5	35	9117
5	37	9053
5	38	4081
5	40	9113
5	41	4165
5	43	8913
5	45	3946
5	46	9343
5	48	9310
5	49	5010
5	51	8701
5	53	3989
5	54	9113
5	56	8222
5	57	4118
5	59	8758
5	61	3719
5	62	7762
5	64	3889
5	65	8131
5	67	8244
5	68	3750
5	70	7203
5	72	3685
5	73	7242
5	75	6883
5	76	2649
5	78	6641
5	80	3162
5	81	7121
5	83	3355
5	84	7834
5	86	6574
5	87	3487
5	89	7465
5	91	2918
5	92	5763
5	94	5125
5	95	2401
5	97	5662
5	99	2691
5	100	5161
5	102	2405
5	103	4971
5	105	4480
5	106	2194
5	108	4223
5	110	2282
5	111	3658
5	113	4025
5	114	1612
5	116	3340
5	118	1848
5	119	3268
5	121	3503
5	122	1444
5	124	3167
5	125	1546
5	127	2856
5	129	1417
5	130	2815
5	132	2682
5	133	998
5	135	2624
5	137	1576
5	138	1985
5	140	2536
5	141	867
5	143	1967
5	144	877
5	146	1538
5	148	646
5	149	1633
5	151	1517
5	152	711
5	154	929
5	156	635
5	157	1652
5	159	811
5	160	392
5	162	834
5	164	449
5	165	706
5	167	457
5	168	635
5	170	876
5	171	332
5	173	548
5	175	178
5	176	346
5	178	450
5	179	237
5	181	374
5	183	176
5	184	241
5	186	185
5	187	326
5	189	165
5	190	75
5	192	131
5	194	79
5	195	165
5	197	104
5	198	24
5	200	223
5	202	210
5	203	88
5	205	5
5	206	8
6	0	5039
6	1	6070
6	2	8340
6	4	6292
6	5	3612
6	7	2952
6	8	6178
6	10	2786
6	11	6233
6	13	3193
6	14	5788
6	15	3033
6	17	7692
6	18	3185
6	20	3431
6	21	7158
6	22	3269
6	24	7940
6	26	3767
6	27	7344
6	29	7286
6	30	3496
6	32	7938
6	34	3716
6	35	8402
6	37	8179
6	38	4163
6	40	8201
6	41	3770
6	43	8485
6	45	4635
6	46	8194
6	48	9077
6	49	3699
6	51	7942
6	53	4314
6	54	8527
6	56	9354
6	57	3724
6	59	8381
6	61	4266
6	62	8763
6	64	4070
6	65	9272
6	67	8383
6	68	3609
6	70	7596
6	72	3951
6	73	7507
6	75	7970
6	76	4038
6	78	8224
6	80	4405
6	81	8142
6	83	3303
6	84	6718
6	86	7341
6	87	3426
6	89	6880
6	91	3698
6	92	7628
6	94	7428
6	95	2933
6	97	6535
6	99	3483
6	100	7052
6	102	3732
6	103	6392
6	105	6919
6	106	2957
6	108	5912
6	110	2713
6	111	5879
6	113	5176
6	114	2660
6	116	4840
