UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	23077
0	1	582
0	2	324
0	3	804
0	4	203
0	6	430
0	7	215
0	9	142
0	10	345
0	12	164
0	13	274
0	14	131
0	16	329
0	17	90
0	19	85
0	20	217
0	22	167
0	23	96
0	25	283
0	27	59
0	28	218
0	30	103
0	31	127
0	33	319
0	34	92
0	36	122
0	38	99
0	39	258
0	41	135
0	42	25
0	44	56
0	46	48
0	47	50
0	49	75
0	50	19
0	52	47
0	54	15
0	55	52
0	57	24
0	58	34
0	60	38
0	61	14
0	63	35
0	65	8
0	66	46
0	68	25
0	69	8
0	71	47
0	73	18
0	74	32
0	76	27
0	77	8
0	79	27
0	81	8
0	82	13
0	84	7
0	85	14
0	87	7
0	88	3
0	90	23
0	92	16
0	93	12
0	95	17
0	96	8
0	98	9
0	100	2
0	101	1
0	103	5
0	104	6
0	106	7
0	108	6
0	109	1
0	111	15
0	112	17
0	117	1
0	119	1
0	120	6
0	122	3
0	123	3
0	125	4
0	127	17
0	128	5
0	130	1
0	133	11
0	136	1
0	141	4
0	142	8
0	144	1
0	149	2
0	152	4
0	174	2
1	0	629096
1	1	33963
1	2	21025
1	3	32484
1	4	13186
1	6	25412
1	7	11508
1	9	11807
1	10	22510
1	12	10291
1	13	19037
1	14	8984
1	16	17093
1	17	7563
1	19	7791
1	20	14777
1	22	14264
1	23	6511
1	25	12445
1	27	5596
1	28	11146
1	30	6021
1	31	10521
1	33	9556
1	34	4862
1	36	8893
1	38	3961
1	39	8195
1	41	7890
1	42	3541
1	44	6579
1	46	3365
1	47	6467
1	49	5848
1	50	2807
1	52	5047
1	54	2788
1	55	4825
1	57	2528
1	58	4378
1	60	3820
1	61	2020
1	63	3988
1	65	1715
1	66	3207
1	68	3232
1	69	1462
1	71	2796
1	73	1238
1	74	2334
1	76	2496
1	77	1047
1	79	2150
1	81	993
1	82	1986
1	84	788
1	85	1730
1	87	1533
1	88	756
1	90	1577
1	92	752
1	93	1210
1	95	1135
1	96	539
1	98	1072
1	100	439
1	101	767
1	103	798
1	104	407
1	106	712
1	108	353
1	109	729
1	111	428
1	112	469
1	114	579
1	115	272
1	117	497
1	119	196
1	120	381
1	122	368
1	123	194
1	125	338
1	127	134
1	128	248
1	130	305
1	131	121
1	133	203
1	135	127
1	136	154
1	138	75
1	139	194
1	141	281
1	142	80
1	144	165
1	146	71
1	147	125
1	149	79
1	150	71
1	152	170
1	154	62
1	155	66
1	157	59
1	158	20
1	160	42
1	162	24
1	163	112
1	165	16
1	166	34
1	168	47
1	169	13
1	171	39
1	173	14
1	174	19
1	176	23
1	177	10
1	179	5
1	181	1
1	182	4
1	184	5
1	187	4
1	189	5
1	190	4
1	192	4
1	193	1
1	195	4
1	198	2
1	200	2
1	203	1
1	211	1
2	0	126637
2	1	22304
2	2	15620
2	3	24440
2	4	10875
2	6	19447
2	7	9756
2	9	9026
2	10	18203
2	12	8090
2	13	15629
2	14	7481
2	16	14688
2	17	6909
2	19	6723
2	20	13305
2	22	12721
2	23	6099
2	25	12607
2	27	6030
2	28	11729
2	30	5255
2	31	11093
2	33	10220
2	34	4551
2	36	9156
2	38	4169
2	39	8857
2	41	7568
2	42	3497
2	44	7988
2	46	3554
2	47	7751
2	49	6755
2	50	3260
2	52	6371
2	54	2985
2	55	5819
2	57	2756
2	58	5633
2	60	5298
2	61	2672
2	63	4573
2	65	2421
2	66	4326
2	68	3866
2	69	1761
2	71	4333
2	73	1898
2	74	3605
2	76	3164
2	77	1626
2	79	2809
2	81	1393
2	82	2616
2	84	1214
2	85	2253
2	87	2232
2	88	1052
2	90	1995
2	92	1044
2	93	2044
2	95	1799
2	96	984
2	98	1694
2	100	963
2	101	1565
2	103	1616
2	104	682
2	106	1371
2	108	643
2	109	1090
2	111	500
2	112	897
2	114	927
2	115	526
2	117	813
2	119	359
2	120	920
2	122	670
2	123	383
2	125	762
2	127	380
2	128	726
2	130	534
2	131	207
2	133	493
2	135	301
2	136	352
2	138	251
2	139	455
2	141	364
2	142	137
2	144	257
2	146	125
2	147	334
2	149	219
2	150	176
2	152	192
2	154	100
2	155	214
2	157	192
2	158	59
2	160	168
2	162	42
2	163	121
2	165	89
2	166	108
2	168	45
2	169	31
2	171	55
2	173	65
2	174	261
2	176	84
2	177	24
2	179	56
2	181	68
2	182	33
2	184	59
2	185	28
2	187	63
2	189	13
2	190	35
2	192	11
2	193	23
2	195	13
2	198	17
2	201	10
2	203	1
2	204	2
2	206	5
2	208	225
2	209	2
2	211	8
2	214	2
2	216	3
3	0	44317
3	1	12760
3	2	9438
3	3	15566
3	4	6953
3	6	13116
3	7	5977
3	9	5799
3	10	11384
3	12	5926
3	13	10994
3	14	5428
3	16	11285
3	17	5051
3	19	4712
3	20	10002
3	22	10041
3	23	4632
3	25	9631
3	27	4343
3	28	9063
3	30	4541
3	31	9417
3	33	8236
3	34	3828
3	36	7850
3	38	3684
3	39	7534
3	41	7071
3	42	3376
3	44	6681
3	46	3457
3	47	6426
3	49	5833
3	50	2805
3	52	5388
3	54	2802
3	55	5257
3	57	2526
3	58	5250
3	60	4950
3	61	2416
3	63	4493
3	65	1965
3	66	4019
3	68	3897
3	69	2027
3	71	3991
3	73	2005
3	74	3411
3	76	3542
3	77	1700
3	79	2848
3	81	1475
3	82	3003
3	84	1453
3	85	2716
3	87	2668
3	88	1288
3	90	2358
3	92	1228
3	93	2218
3	95	2365
3	96	1148
3	98	2082
3	100	943
3	101	1769
3	103	1973
3	104	797
3	106	1741
3	108	777
3	109	1541
3	111	820
3	112	1342
3	114	1495
3	115	592
3	117	1144
3	119	563
3	120	1089
3	122	1103
3	123	669
3	125	914
3	127	446
3	128	854
3	130	879
3	131	423
3	133	844
3	135	390
3	136	734
3	138	277
3	139	669
3	141	794
3	142	371
3	144	488
3	146	246
3	147	389
3	149	384
3	150	175
3	152	399
3	154	183
3	155	375
3	157	331
3	158	157
3	160	261
3	162	115
3	163	296
3	165	130
3	166	171
3	168	158
3	169	98
3	171	193
3	173	77
3	174	108
3	176	133
3	177	42
3	179	142
3	181	63
3	182	144
3	184	75
3	185	41
3	187	89
3	189	22
3	190	29
3	192	10
3	193	57
3	195	32
3	196	11
3	198	19
3	200	17
3	201	52
3	203	15
3	204	12
3	206	6
3	208	3
3	209	11
3	211	5
3	212	5
3	214	10
3	216	1
4	0	44870
4	1	15470
4	2	11920
4	3	20924
4	4	9101
4	6	17781
4	7	9542
4	9	8546
4	10	16496
4	12	8108
4	13	16505
4	14	8343
4	16	16069
4	17	7372
4	19	7503
4	20	14878
4	22	14553
4	23	7312
4	25	14340
4	27	7137
4	28	13611
4	30	6694
4	31	13743
4	33	12739
4	34	6628
4	36	13770
4	38	6277
4	39	11991
4	41	11833
4	42	5997
4	44	11251
4	46	5640
4	47	11181
4	49	10499
4	50	5154
4	52	9837
4	54	4905
4	55	9813
4	57	4697
4	58	9057
4	60	8616
4	61	4276
4	63	8147
4	65	4084
4	66	7382
4	68	8278
4	69	3659
4	71	7410
4	73	3277
4	74	6837
4	76	6727
4	77	3202
4	79	6173
4	81	3029
4	82	5577
4	84	2686
4	85	5116
4	87	5884
4	88	2715
4	90	5496
4	92	2411
4	93	4927
4	95	4462
4	96	2050
4	98	3886
4	100	1957
4	101	4281
4	103	3634
4	104	1767
4	106	3351
4	108	1693
4	109	3195
4	111	1643
4	112	3659
4	114	2837
4	115	1325
4	117	2672
4	119	1454
4	120	2384
4	122	2190
4	123	1278
4	125	2109
4	127	968
4	128	2070
4	130	2201
4	131	850
4	133	1874
4	135	774
4	136	1567
4	138	634
4	139	1524
4	141	1428
4	142	660
4	144	1291
4	146	501
4	147	1053
4	149	1109
4	150	423
4	152	997
4	154	719
4	155	924
4	157	721
4	158	347
4	160	679
4	162	332
4	163	703
4	165	344
4	166	648
4	168	608
4	169	210
4	171	730
4	173	245
4	174	365
4	176	494
4	177	167
4	179	333
4	181	153
4	182	262
4	184	255
4	185	95
4	187	192
4	189	82
4	190	272
4	192	73
4	193	125
4	195	236
4	196	104
4	198	164
4	200	54
4	201	130
4	203	61
4	204	71
4	206	65
4	208	18
4	209	20
4	211	9
4	212	2
4	214	16
4	216	5
5	0	21344
5	1	10226
5	2	7002
5	3	12793
5	4	6365
5	6	12286
5	7	5978
5	9	5998
5	10	11718
5	12	6300
5	13	11125
5	14	5733
5	16	10665
5	17	5556
5	19	5705
5	20	10817
5	22	10217
5	23	5120
5	25	10419
5	27	5119
5	28	10023
5	30	4999
5	31	10356
5	33	9861
5	34	4846
5	36	9251
5	38	4495
5	39	9105
5	41	8760
5	42	4557
5	44	9230
5	46	4377
5	47	8362
5	49	8543
5	50	3861
5	52	8247
5	54	4113
5	55	7241
