UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	37
1	1	2
1	2	2
1	4	2
1	5	1
1	8	2
1	21	2
1	29	1
1	43	1
1	100	1
2	0	13
2	1	8
2	2	3
2	4	2
2	7	3
2	8	2
2	11	1
2	14	2
2	17	1
2	18	2
2	21	1
2	24	2
2	26	1
2	38	1
2	40	1
2	46	1
2	51	1
2	56	1
2	64	1
2	92	1
2	99	1
2	103	1
3	0	4
3	1	4
3	2	3
3	4	2
3	5	2
3	7	2
3	8	1
3	10	1
3	11	1
3	13	3
3	14	1
3	17	1
3	24	2
3	27	2
3	32	1
3	35	3
3	37	1
3	38	1
3	40	1
3	43	1
3	51	1
3	54	2
3	59	1
3	62	1
3	64	1
3	65	2
3	67	1
3	68	1
3	76	1
3	95	1
3	100	1
3	105	1
4	0	3
4	1	1
4	2	3
4	4	1
4	7	1
4	8	1
4	10	2
4	13	1
4	20	3
4	21	1
4	22	2
4	24	1
4	27	1
4	29	1
4	34	1
4	35	2
4	37	1
4	38	1
4	40	1
4	41	1
4	43	1
4	49	2
4	51	1
4	56	4
4	59	1
4	64	1
4	67	1
4	73	1
4	78	1
4	81	1
4	84	1
4	91	1
4	92	1
4	100	1
4	106	1
4	129	1
4	152	1
5	0	3
5	1	2
5	8	1
5	10	1
5	14	1
5	17	1
5	20	1
5	21	1
5	22	1
5	24	1
5	27	3
5	29	1
5	32	1
5	34	2
5	38	1
5	40	2
5	45	3
5	46	1
5	48	1
5	56	1
5	59	1
5	72	2
5	75	1
5	76	1
5	78	3
5	80	1
5	89	1
5	91	1
5	97	2
5	100	2
5	110	1
5	122	1
5	137	1
5	144	1
5	156	1
5	157	1
5	165	1
6	1	1
6	4	1
6	8	2
6	11	2
6	17	1
6	18	1
6	20	1
6	27	2
6	35	1
6	37	1
6	41	1
6	43	1
6	48	2
6	51	1
6	53	1
6	54	2
6	59	1
6	61	1
6	62	1
6	64	1
6	78	1
6	81	3
6	86	2
6	89	3
6	91	1
6	95	1
6	97	1
6	100	1
6	102	1
6	108	2
6	111	1
6	119	1
6	121	1
6	135	1
6	141	1
6	149	1
6	162	1
6	195	1
6	197	1
7	2	1
7	4	1
7	13	1
7	14	1
7	17	1
7	22	2
7	32	2
7	34	1
7	35	1
7	40	2
7	48	1
7	49	1
7	56	1
7	59	2
7	61	1
7	67	1
7	72	1
7	73	2
7	75	2
7	78	3
7	84	2
7	86	1
7	87	1
7	89	2
7	92	1
7	94	2
7	95	1
7	100	1
7	108	1
7	119	1
7	121	1
7	127	1
7	135	1
7	140	1
7	156	1
7	164	1
7	165	1
7	171	1
7	192	1
7	203	1
8	2	2
8	21	1
8	22	1
8	32	1
8	40	1
8	41	1
8	43	2
8	45	1
8	48	1
8	49	1
8	59	2
8	70	1
8	72	1
8	73	1
8	76	1
8	78	1
8	80	1
8	81	1
8	83	1
8	84	2
8	86	1
8	89	1
8	91	2
8	94	2
8	97	3
8	100	1
8	116	1
8	124	1
8	127	2
8	132	2
8	133	1
8	138	2
8	143	1
8	144	1
8	151	1
8	159	1
8	173	1
8	179	1
8	181	1
9	2	1
9	17	1
9	29	1
9	34	1
9	48	1
9	65	1
9	70	1
9	72	1
9	73	3
9	78	1
9	81	1
9	87	2
9	89	2
9	94	1
9	102	1
9	103	1
9	105	2
9	110	1
9	113	1
9	114	1
9	116	1
9	127	1
9	135	1
9	141	1
9	146	2
9	151	2
9	154	2
9	156	1
9	159	1
9	160	1
9	162	1
9	164	1
9	165	1
9	167	1
9	170	1
9	173	1
9	183	1
9	184	2
9	186	1
9	198	1
9	200	1
9	206	1
10	27	1
10	43	1
10	46	1
10	72	1
10	84	1
10	89	1
10	102	1
10	106	1
10	111	1
10	113	1
10	116	1
10	118	1
10	119	1
10	121	1
10	125	1
10	127	1
10	130	1
10	132	1
10	140	1
10	146	1
10	148	1
10	149	1
10	151	1
10	154	2
10	159	1
10	160	1
10	168	1
10	170	2
10	173	1
10	175	2
10	176	1
10	178	1
10	179	1
10	183	2
10	184	2
10	190	1
10	192	3
10	198	1
10	200	1
10	203	1
10	205	3
10	206	1
