UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	41
1	1	1
1	3	1
1	10	2
1	12	1
1	13	1
1	14	1
1	17	1
1	19	1
1	20	1
2	0	22
2	1	1
2	2	3
2	3	4
2	6	3
2	7	1
2	10	1
2	13	3
2	14	1
2	16	1
2	31	1
2	36	1
2	39	1
2	46	1
2	49	1
2	52	1
2	55	1
2	79	2
2	100	1
3	0	8
3	1	3
3	3	3
3	6	4
3	10	2
3	14	1
3	16	1
3	19	1
3	20	1
3	22	3
3	23	1
3	25	1
3	28	2
3	30	2
3	34	1
3	36	1
3	38	2
3	46	2
3	47	1
3	57	1
3	65	1
3	68	1
3	74	2
3	79	1
3	87	2
3	88	1
3	90	1
3	104	1
4	0	6
4	1	3
4	3	2
4	4	2
4	6	1
4	7	1
4	9	1
4	10	1
4	16	1
4	19	1
4	20	1
4	22	2
4	25	1
4	28	3
4	30	1
4	36	1
4	41	1
4	47	1
4	49	3
4	52	1
4	60	4
4	76	1
4	82	1
4	84	1
4	85	1
4	88	1
4	101	1
4	111	1
4	112	2
4	141	1
4	158	1
4	201	1
5	0	1
5	1	1
5	2	2
5	4	3
5	10	1
5	14	1
5	16	2
5	20	3
5	22	1
5	25	1
5	27	1
5	28	1
5	31	2
5	33	1
5	36	1
5	38	1
5	39	1
5	41	1
5	47	1
5	49	1
5	52	2
5	55	1
5	58	1
5	63	2
5	65	1
5	66	1
5	73	1
5	76	2
5	81	1
5	90	1
5	98	2
5	101	1
5	115	1
5	119	1
5	125	1
5	130	1
5	133	1
5	150	1
5	168	1
5	176	1
6	0	2
6	1	1
6	2	1
6	6	2
6	9	1
6	12	2
6	13	3
6	16	1
6	20	4
6	22	3
6	28	1
6	31	1
6	33	1
6	38	2
6	39	1
6	41	1
6	47	1
6	50	1
6	58	1
6	60	1
6	66	2
6	77	1
6	84	1
6	90	1
6	93	1
6	95	2
6	104	1
6	114	1
6	120	1
6	127	1
6	133	1
6	136	1
6	139	1
6	152	1
6	155	1
6	158	1
6	174	1
7	0	1
7	1	2
7	4	1
7	6	1
7	7	1
7	9	1
7	10	1
7	13	3
7	17	1
7	25	1
7	27	1
7	31	2
7	34	1
7	36	1
7	39	1
7	41	2
7	46	1
7	47	1
7	49	2
7	52	1
7	54	1
7	55	1
7	63	1
7	69	2
7	71	2
7	74	1
7	81	1
7	82	1
7	84	1
7	87	1
7	90	1
7	101	1
7	103	1
7	106	1
7	115	1
7	136	1
7	146	1
7	160	1
7	166	1
7	171	1
7	174	1
7	196	1
7	216	1
8	0	3
8	2	1
8	3	1
8	6	1
8	16	1
8	19	2
8	20	2
8	23	2
8	28	4
8	31	2
8	33	3
8	39	3
8	54	1
8	58	2
8	60	1
8	68	2
8	76	1
8	77	1
8	82	1
8	84	1
8	87	1
8	100	1
8	101	1
8	103	1
8	111	1
8	119	1
8	123	1
8	127	1
8	131	1
8	133	2
8	141	1
8	144	2
8	171	1
9	0	2
9	1	1
9	3	1
9	6	1
9	10	1
9	14	1
9	16	1
9	22	1
9	25	1
9	33	1
9	39	2
9	44	1
9	46	1
9	47	3
9	57	1
9	58	1
9	60	1
9	71	2
9	79	2
9	82	1
9	85	1
9	92	1
9	95	2
9	106	1
9	112	1
9	114	1
9	120	1
9	125	2
9	128	1
9	136	3
9	147	1
9	155	1
9	160	1
9	165	1
9	168	1
9	184	2
9	190	1
9	201	2
9	208	1
10	17	1
10	19	1
10	22	1
10	23	1
10	30	1
10	31	1
10	42	1
10	46	1
10	52	1
10	55	2
10	63	1
10	71	2
10	76	1
10	90	2
10	93	1
10	98	1
10	103	1
10	106	2
10	108	1
10	114	1
10	125	1
10	128	2
10	130	1
10	136	1
10	149	1
10	150	1
10	152	2
10	162	1
10	165	1
10	168	1
10	171	1
10	173	1
10	182	1
10	185	1
10	190	1
10	192	1
10	195	1
10	198	2
10	203	1
10	208	1
10	216	4
