bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-1.0167571152217467	0.314163492160252	0.7379040943244735	-1.0167571152217467	0.314163492160252	0.7379040943244735	0.2757517030290052	0.6888784155203815	-10.626717175599122	1.974846566707242e-14	1.5401366928898227e-11	-10.626717175599122	1.974846566707242e-14	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
2	-1.1722952195743084	0.24674560217875707	0.7379040943244735	-1.1722952195743084	0.24674560217875707	0.7379040943244735	0.2757517030290052	0.6888784155203815	-3.218028568169427	0.002290178005998684	1.5401366928898227e-11	-3.218028568169427	0.002290178005998684	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
3	-0.4193280537354113	0.676772053764281	0.7379040943244735	-0.4193280537354113	0.676772053764281	0.7379040943244735	0.2757517030290052	0.6888784155203815	-0.9111250219982708	0.3666000691437332	1.5401366928898227e-11	-0.9111250219982708	0.3666000691437332	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
4	-0.38764850026946734	0.6999547019318776	0.7379040943244735	-0.38764850026946734	0.6999547019318776	0.7379040943244735	0.2757517030290052	0.6888784155203815	0.28413755769261884	0.7775021062255141	1.5401366928898227e-11	0.28413755769261884	0.7775021062255141	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
5	0.32734691519275666	0.7447719022740245	0.7379040943244735	0.32734691519275666	0.7447719022740245	0.7379040943244735	0.2757517030290052	0.6888784155203815	0.9366042566901929	0.3534634474944027	1.5401366928898227e-11	0.9366042566901929	0.3534634474944027	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
6	0.8449139125848245	0.4022649869096866	0.7379040943244735	0.8449139125848245	0.4022649869096866	0.7379040943244735	0.2757517030290052	0.6888784155203815	0.01568879303420422	0.9875463659867563	1.5401366928898227e-11	0.01568879303420422	0.9875463659867563	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
7	-0.2077728147989395	0.8362501928174875	0.7379040943244735	-0.2077728147989395	0.8362501928174875	0.7379040943244735	0.2757517030290052	0.6888784155203815	-0.14746500923513764	0.8833579617667584	1.5401366928898227e-11	-0.14746500923513764	0.8833579617667584	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
8	-0.7705407594689317	0.44467766336578707	0.7379040943244735	-0.7705407594689317	0.44467766336578707	0.7379040943244735	0.2757517030290052	0.6888784155203815	-2.6333868836102012	0.011278472961113627	1.5401366928898227e-11	-2.6333868836102012	0.011278472961113627	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
9	0.7260124183335462	0.47121520844253295	0.7379040943244735	0.7260124183335462	0.47121520844253295	0.7379040943244735	0.2757517030290052	0.6888784155203815	-0.6822334318815628	0.49823919066116884	1.5401366928898227e-11	-0.6822334318815628	0.49823919066116884	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
10	-1.2784703112773044	0.20698460476679034	0.7379040943244735	-1.2784703112773044	0.20698460476679034	0.7379040943244735	0.2757517030290052	0.6888784155203815	-1.3477745450630247	0.18380462928493208	1.5401366928898227e-11	-1.3477745450630247	0.18380462928493208	1.5401366928898227e-11	1.747356674265013e-15	2.0679691824059002e-09
