UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	2394
0	1	138
0	2	133
0	4	28
0	5	20
0	7	13
0	8	29
0	10	12
0	11	49
0	13	13
0	14	14
0	15	11
0	17	17
0	18	6
0	20	5
0	21	13
0	22	4
0	24	10
0	26	4
0	27	14
0	29	5
0	30	2
0	32	7
0	34	8
0	35	1
0	37	1
0	38	3
0	40	5
0	41	1
0	43	7
0	46	3
0	48	2
0	49	2
0	51	2
0	53	1
0	54	1
0	57	7
0	59	2
0	65	1
0	67	1
0	72	1
0	73	1
0	78	3
0	86	3
0	87	1
0	99	1
0	100	1
0	108	1
1	0	1042069
1	1	100586
1	2	54999
1	4	35972
1	5	16080
1	7	17507
1	8	27974
1	10	11872
1	11	21595
1	13	9691
1	14	19660
1	15	9447
1	17	17182
1	18	9225
1	20	7934
1	21	15014
1	22	7469
1	24	12917
1	26	6534
1	27	11248
1	29	10062
1	30	5530
1	32	8955
1	34	3931
1	35	8495
1	37	7461
1	38	3847
1	40	7615
1	41	3754
1	43	5653
1	45	3072
1	46	5709
1	48	5506
1	49	2821
1	51	5209
1	53	2088
1	54	4492
1	56	3872
1	57	1935
1	59	3443
1	61	1656
1	62	3199
1	64	1611
1	65	3647
1	67	2981
1	68	1364
1	70	2350
1	72	925
1	73	1834
1	75	1553
1	76	918
1	78	2090
1	80	879
1	81	1683
1	83	567
1	84	1540
1	86	1291
1	87	555
1	89	1472
1	91	364
1	92	790
1	94	847
1	95	648
1	97	973
1	99	634
1	100	562
1	102	326
1	103	630
1	105	660
1	106	262
1	108	578
1	110	152
1	111	575
1	113	313
1	114	190
1	116	344
1	118	134
1	119	254
1	121	403
1	122	160
1	124	207
1	125	118
1	127	209
1	129	92
1	130	149
1	132	160
1	133	117
1	135	273
1	137	57
1	138	79
1	140	95
1	141	52
1	143	94
1	144	35
1	146	79
1	148	24
1	149	95
1	151	111
1	152	94
1	154	132
1	156	24
1	157	34
1	159	44
1	160	16
1	162	7
1	165	1
1	167	2
1	168	38
1	170	23
1	173	2
1	176	2
1	178	1
1	183	3
1	184	2
1	186	1
1	187	6
1	189	1
1	192	2
1	203	1
1	205	1
1	206	1
2	0	151110
2	1	48142
2	2	32565
2	4	22016
2	5	11098
2	7	9557
2	8	16788
2	10	8769
2	11	15642
2	13	7164
2	14	14836
2	15	6916
2	17	14209
2	18	6480
2	20	6153
2	21	13084
2	22	5709
2	24	11210
2	26	5047
2	27	10455
2	29	9814
2	30	4479
2	32	8329
2	34	4421
2	35	8041
2	37	7129
2	38	3661
2	40	7281
2	41	3254
2	43	6707
2	45	3078
2	46	5852
2	48	5611
2	49	2685
2	51	5503
2	53	2759
2	54	4778
2	56	4375
2	57	2129
2	59	4394
2	61	2339
2	62	3856
2	64	1879
2	65	3753
2	67	3386
2	68	1713
2	70	3158
2	72	1406
2	73	2776
2	75	2555
2	76	1100
2	78	2051
2	80	978
2	81	2047
2	83	1113
2	84	1986
2	86	1896
2	87	958
2	89	1644
2	91	877
2	92	1538
2	94	1573
2	95	662
2	97	1293
2	99	620
2	100	1262
2	102	541
2	103	1022
2	105	949
2	106	383
2	108	806
2	110	406
2	111	820
2	113	740
2	114	273
2	116	677
2	118	282
2	119	484
2	121	555
2	122	178
2	124	356
2	125	240
2	127	333
2	129	203
2	130	332
2	132	310
2	133	172
2	135	228
2	137	55
2	138	143
2	140	111
2	141	109
2	143	163
2	144	67
2	146	272
2	148	90
2	149	145
2	151	121
2	152	52
2	154	122
2	156	23
2	157	67
2	159	65
2	160	15
2	162	74
2	164	22
2	165	60
2	167	24
2	168	88
2	170	30
2	171	17
2	173	70
2	175	15
2	176	20
2	178	27
2	179	4
2	181	5
2	183	22
2	184	23
2	187	2
2	190	5
2	195	1
2	200	2
2	206	3
3	0	59275
3	1	27159
3	2	20555
3	4	15337
3	5	7348
3	7	6879
3	8	13286
3	10	6731
3	11	13047
3	13	6048
3	14	11727
3	15	5832
3	17	10991
3	18	5420
3	20	5332
3	21	10026
3	22	4767
3	24	10464
3	26	4931
3	27	9864
3	29	9549
3	30	4381
3	32	8475
3	34	4283
3	35	7513
3	37	7985
3	38	3537
3	40	7151
3	41	4110
3	43	6828
3	45	3429
3	46	6112
3	48	6262
3	49	3050
3	51	6224
3	53	2692
3	54	5233
3	56	5231
3	57	2613
3	59	5502
3	61	2499
3	62	4836
3	64	2108
3	65	4347
3	67	3656
3	68	1887
3	70	3741
3	72	1883
3	73	3408
3	75	3562
3	76	1439
3	78	3215
3	80	1510
3	81	2857
3	83	1473
3	84	2482
3	86	2752
3	87	1038
3	89	2310
3	91	1265
3	92	2261
3	94	1889
3	95	1101
3	97	1700
3	99	929
3	100	1636
3	102	704
3	103	1290
3	105	1445
3	106	732
3	108	1173
3	110	625
3	111	1253
3	113	1140
3	114	586
3	116	1093
3	118	546
3	119	957
3	121	723
3	122	464
3	124	623
3	125	454
3	127	670
3	129	215
3	130	532
3	132	486
3	133	226
3	135	498
3	137	218
3	138	397
3	140	295
3	141	170
3	143	365
3	144	125
3	146	250
3	148	75
3	149	191
