UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	2246
0	1	75
0	2	27
0	3	113
0	4	24
0	6	24
0	7	16
0	9	13
0	10	20
0	12	23
0	13	31
0	14	11
0	16	80
0	17	14
0	19	13
0	20	9
0	22	9
0	23	4
0	25	12
0	27	6
0	28	27
0	30	1
0	31	2
0	33	20
0	34	11
0	36	7
0	38	20
0	39	5
0	41	14
0	42	3
0	44	3
0	46	2
0	47	8
0	49	11
0	50	1
0	54	5
0	55	21
0	57	1
0	58	13
0	60	3
0	63	3
0	66	3
0	69	6
0	71	3
0	74	8
0	76	1
0	81	1
0	84	2
0	85	2
0	87	1
0	90	1
0	92	1
0	95	2
0	98	1
0	104	3
0	106	1
0	111	4
0	128	1
0	135	1
0	149	1
0	155	7
1	0	964944
1	1	47006
1	2	29149
1	3	44928
1	4	18539
1	6	33560
1	7	16690
1	9	15415
1	10	29092
1	12	14049
1	13	26015
1	14	12104
1	16	21715
1	17	10732
1	19	10244
1	20	19848
1	22	19448
1	23	8484
1	25	16040
1	27	7979
1	28	14888
1	30	7412
1	31	13998
1	33	12792
1	34	6424
1	36	12056
1	38	5118
1	39	11485
1	41	10749
1	42	4622
1	44	9011
1	46	4455
1	47	7706
1	49	7572
1	50	3723
1	52	6947
1	54	3406
1	55	6577
1	57	2982
1	58	5875
1	60	5060
1	61	2688
1	63	5411
1	65	2576
1	66	4370
1	68	4496
1	69	2274
1	71	3759
1	73	1780
1	74	3240
1	76	3547
1	77	1456
1	79	2838
1	81	1424
1	82	2839
1	84	1500
1	85	2574
1	87	2070
1	88	1158
1	90	2020
1	92	1002
1	93	1580
1	95	1476
1	96	601
1	98	1454
1	100	635
1	101	1192
1	103	852
1	104	452
1	106	964
1	108	402
1	109	937
1	111	741
1	112	819
1	114	763
1	115	272
1	117	596
1	119	269
1	120	550
1	122	645
1	123	212
1	125	489
1	127	257
1	128	328
1	130	345
1	131	204
1	133	314
1	135	181
1	136	400
1	138	160
1	139	235
1	141	204
1	142	91
1	144	186
1	146	134
1	147	237
1	149	145
1	150	89
1	152	117
1	154	29
1	155	86
1	157	149
1	158	80
1	160	81
1	162	33
1	163	87
1	165	28
1	166	44
1	168	69
1	169	189
1	171	235
1	173	35
1	174	19
1	176	16
1	177	14
1	179	15
1	181	7
1	182	106
1	184	57
1	187	10
1	189	6
1	190	11
1	192	4
1	193	9
1	195	6
1	196	2
1	198	1
1	200	1
1	206	3
1	208	1
1	211	1
2	0	144155
2	1	23199
2	2	15004
2	3	23249
2	4	10639
2	6	20285
2	7	9880
2	9	9633
2	10	17763
2	12	8702
2	13	15885
2	14	7766
2	16	15173
2	17	6973
2	19	6699
2	20	13292
2	22	12229
2	23	6269
2	25	11973
2	27	5535
2	28	11282
2	30	4899
2	31	9882
2	33	9395
2	34	4687
2	36	8471
2	38	4281
2	39	8570
2	41	7712
2	42	3485
2	44	6884
2	46	3634
2	47	6420
2	49	6200
2	50	2834
2	52	6321
2	54	2917
2	55	5263
2	57	2673
2	58	4814
2	60	4561
2	61	2306
2	63	4137
2	65	2162
2	66	4124
2	68	3788
2	69	1807
2	71	3466
2	73	1743
2	74	3171
2	76	2808
2	77	1414
2	79	2619
2	81	1243
2	82	2595
2	84	1236
2	85	2076
2	87	2201
2	88	958
2	90	2060
2	92	958
2	93	1873
2	95	1713
2	96	1020
2	98	1580
2	100	697
2	101	1298
2	103	1192
2	104	642
2	106	1209
2	108	495
2	109	917
2	111	500
2	112	1011
2	114	843
2	115	476
2	117	845
2	119	361
2	120	740
2	122	599
2	123	362
2	125	612
2	127	286
2	128	554
2	130	451
2	131	213
2	133	367
2	135	179
2	136	388
2	138	233
2	139	369
2	141	379
2	142	118
2	144	279
2	146	112
2	147	223
2	149	277
2	150	98
2	152	264
2	154	147
2	155	181
2	157	316
2	158	53
2	160	157
2	162	88
2	163	141
2	165	34
2	166	82
2	168	59
2	169	21
2	171	59
2	173	32
2	174	71
2	176	73
2	177	20
2	179	39
2	181	21
2	182	16
2	184	20
2	185	38
2	187	32
2	189	11
2	190	102
2	192	4
2	193	28
2	195	32
2	196	11
2	198	18
2	200	5
2	201	11
2	204	1
2	206	1
2	208	2
2	209	2
2	211	7
2	212	1
2	214	1
2	216	1
3	0	61268
3	1	14949
3	2	11104
3	3	17755
3	4	7649
3	6	14899
3	7	6427
3	9	6234
3	10	13014
3	12	6755
3	13	12390
3	14	6319
3	16	11672
3	17	5833
3	19	5198
3	20	10491
3	22	9833
3	23	4967
3	25	10098
3	27	4762
3	28	9203
3	30	5063
3	31	9379
3	33	8906
3	34	4412
3	36	8155
3	38	3736
3	39	7691
3	41	6748
3	42	3667
3	44	6721
3	46	3174
3	47	7022
3	49	6314
3	50	2958
3	52	5768
3	54	2743
3	55	5351
3	57	2986
3	58	5395
3	60	5259
3	61	2474
3	63	4174
3	65	2168
3	66	4155
3	68	3855
3	69	1981
3	71	3881
3	73	1819
3	74	3637
3	76	3304
3	77	1547
3	79	3004
3	81	1296
3	82	2755
3	84	1504
3	85	2677
3	87	2748
3	88	1176
3	90	2495
3	92	1123
3	93	1904
3	95	1878
3	96	874
3	98	1954
3	100	904
3	101	1720
3	103	1513
3	104	825
3	106	1465
3	108	614
3	109	1389
3	111	635
3	112	1304
3	114	1312
3	115	617
3	117	1157
3	119	450
3	120	943
3	122	846
3	123	435
3	125	821
3	127	407
3	128	786
3	130	758
3	131	321
3	133	627
3	135	276
3	136	641
3	138	219
3	139	459
3	141	609
3	142	222
3	144	335
3	146	225
3	147	320
3	149	300
3	150	139
3	152	254
3	154	145
3	155	278
3	157	177
3	158	152
3	160	192
3	162	124
3	163	152
3	165	122
3	166	159
3	168	134
3	169	43
3	171	127
3	173	33
3	174	143
3	176	158
3	177	43
3	179	149
3	181	41
3	182	98
3	184	56
3	185	22
3	187	69
3	189	18
3	190	28
3	192	13
3	193	35
3	195	12
3	196	5
3	198	28
3	200	25
3	201	8
3	203	3
3	204	6
3	206	7
3	208	2
3	209	9
3	211	10
3	212	6
3	214	17
3	216	1
