UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	434
1	1	34
1	2	20
1	4	10
1	5	3
1	7	3
1	8	9
1	10	2
1	11	4
1	13	3
1	14	5
1	15	3
1	18	3
1	20	1
1	21	4
1	22	2
1	24	4
1	27	2
1	29	4
1	32	6
1	34	2
1	35	1
1	37	2
1	38	1
1	40	3
1	43	3
1	45	1
1	46	3
1	48	2
1	54	3
1	70	1
1	78	1
1	94	1
1	102	1
1	108	1
1	113	1
1	116	1
2	0	186
2	1	47
2	2	20
2	4	20
2	5	12
2	7	9
2	8	18
2	10	10
2	11	17
2	13	4
2	14	14
2	15	9
2	17	12
2	18	7
2	20	5
2	21	12
2	22	7
2	24	11
2	26	9
2	27	7
2	29	10
2	30	3
2	32	6
2	34	5
2	35	6
2	37	7
2	38	4
2	40	2
2	41	7
2	43	13
2	46	3
2	48	9
2	49	4
2	51	4
2	53	3
2	54	2
2	56	3
2	57	2
2	59	3
2	61	5
2	62	1
2	65	5
2	67	5
2	68	3
2	70	2
2	72	1
2	73	2
2	75	1
2	76	1
2	78	1
2	81	1
2	84	1
2	86	1
2	89	1
2	91	1
2	92	2
2	94	3
2	97	1
2	99	1
2	100	1
2	103	1
2	108	2
2	111	1
2	113	2
2	114	1
2	116	1
2	121	1
2	138	1
2	140	1
2	160	1
3	0	58
3	1	38
3	2	46
3	4	19
3	5	11
3	7	8
3	8	13
3	10	7
3	11	6
3	13	8
3	14	13
3	15	7
3	17	17
3	18	11
3	20	3
3	21	14
3	22	13
3	24	7
3	26	8
3	27	11
3	29	7
3	30	3
3	32	19
3	34	4
3	35	5
3	37	9
3	38	4
3	40	10
3	41	1
3	43	8
3	45	4
3	46	12
3	48	8
3	49	2
3	51	7
3	53	2
3	54	8
3	56	7
3	57	4
3	59	10
3	61	1
3	62	3
3	64	5
3	65	11
3	67	4
3	68	3
3	70	5
3	72	3
3	73	6
3	75	4
3	76	1
3	78	3
3	80	1
3	81	9
3	83	1
3	84	6
3	86	1
3	89	3
3	91	1
3	92	2
3	94	4
3	95	1
3	97	4
3	99	1
3	100	5
3	102	1
3	103	5
3	105	2
3	106	2
3	108	3
3	110	1
3	111	2
3	113	3
3	114	2
3	116	4
3	118	1
3	119	1
3	121	3
3	132	1
3	133	1
3	137	1
3	140	1
3	146	1
3	148	2
3	149	1
3	151	1
3	152	1
3	154	1
3	157	1
3	159	1
3	171	1
4	0	33
4	1	22
4	2	26
4	4	10
4	5	10
4	7	12
4	8	22
4	10	9
4	11	7
4	13	3
4	14	11
4	15	3
4	17	8
4	18	12
4	20	9
4	21	8
4	22	7
4	24	11
4	26	10
4	27	6
4	29	13
4	30	6
4	32	3
