UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	430
1	1	16
1	2	11
1	3	5
1	4	5
1	6	8
1	7	3
1	9	6
1	10	7
1	12	3
1	13	7
1	14	7
1	16	4
1	17	1
1	19	4
1	20	3
1	22	10
1	23	1
1	25	6
1	27	3
1	28	1
1	31	4
1	33	3
1	34	2
1	36	3
1	38	1
1	39	1
1	41	3
1	42	1
1	44	1
1	46	1
1	47	2
1	49	1
1	52	2
1	54	1
1	55	2
1	57	2
1	60	1
1	66	1
1	69	2
1	71	1
1	76	2
1	77	1
1	85	1
1	87	1
1	101	1
1	109	1
1	127	1
2	0	209
2	1	33
2	2	10
2	3	29
2	4	10
2	6	19
2	7	13
2	9	10
2	10	17
2	12	5
2	13	10
2	14	8
2	16	9
2	17	5
2	19	5
2	20	12
2	22	8
2	23	6
2	25	11
2	27	4
2	28	7
2	30	4
2	31	8
2	33	6
2	34	7
2	36	9
2	38	1
2	39	7
2	41	7
2	42	2
2	44	5
2	46	8
2	47	7
2	49	5
2	50	1
2	52	5
2	54	1
2	55	2
2	57	3
2	58	2
2	60	2
2	61	2
2	63	4
2	65	2
2	66	1
2	68	2
2	69	1
2	71	1
2	73	2
2	74	1
2	76	1
2	79	3
2	82	1
2	85	2
2	87	2
2	90	2
2	95	2
2	96	1
2	98	1
2	100	2
2	103	1
2	104	1
2	106	2
2	108	1
2	109	2
2	112	3
2	114	1
2	115	1
2	123	1
2	133	1
2	135	1
2	162	1
2	166	1
2	168	1
2	179	1
3	0	97
3	1	23
3	2	16
3	3	26
3	4	7
3	6	22
3	7	17
3	9	5
3	10	13
3	12	9
3	13	19
3	14	7
3	16	12
3	17	4
3	19	7
3	20	10
3	22	11
3	23	8
3	25	11
3	27	5
3	28	16
3	30	5
3	31	10
3	33	11
3	34	3
3	36	7
3	38	3
3	39	9
3	41	13
3	42	2
3	44	14
3	46	2
3	47	9
3	49	9
3	50	3
3	52	3
3	54	2
3	55	4
3	57	4
3	58	3
3	60	2
3	61	4
3	63	4
3	65	2
3	66	5
3	68	2
3	69	4
3	71	1
