bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-4.744353316495082	2.633646339646468e-06	1.1440931887570237e-05	-4.744353316495082	2.633646339646468e-06	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-7.7527114284175465	4.024703922146058e-14	1.5027201681375712e-25	-7.7527114284175465	4.024703922146058e-14	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
2	-2.745678310570212	0.006224831279365626	1.1440931887570237e-05	-2.745678310570212	0.006224831279365626	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-5.253473543412231	2.0955196244706949e-07	1.5027201681375712e-25	-5.253473543412231	2.0955196244706949e-07	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
3	-0.011105111260718623	0.9911433819219579	1.1440931887570237e-05	-0.011105111260718623	0.9911433819219579	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-1.7586633731108465	0.07915899300441447	1.5027201681375712e-25	-1.7586633731108465	0.07915899300441447	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
4	-0.31009890877506097	0.7565967061136609	1.1440931887570237e-05	-0.31009890877506097	0.7565967061136609	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-1.4398475509399604	0.1504479849340875	1.5027201681375712e-25	-1.4398475509399604	0.1504479849340875	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
5	-2.7606109805066468	0.005950807170849607	1.1440931887570237e-05	-2.7606109805066468	0.005950807170849607	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-3.5763909560812057	0.0003772681293652185	1.5027201681375712e-25	-3.5763909560812057	0.0003772681293652185	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
6	-1.5594307484902326	0.11943678557469772	1.1440931887570237e-05	-1.5594307484902326	0.11943678557469772	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-1.1827241826346881	0.23740028578382905	1.5027201681375712e-25	-1.1827241826346881	0.23740028578382905	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
7	-1.2004425546044828	0.23045553829425997	1.1440931887570237e-05	-1.2004425546044828	0.23045553829425997	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-2.668224740180304	0.007837683944931145	1.5027201681375712e-25	-2.668224740180304	0.007837683944931145	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
8	0.6791174016583973	0.4973327604330773	1.1440931887570237e-05	0.6791174016583973	0.4973327604330773	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-3.4577110624961604	0.0005844680561389016	1.5027201681375712e-25	-3.4577110624961604	0.0005844680561389016	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
9	-0.4019657691412588	0.6878564135917011	1.1440931887570237e-05	-0.4019657691412588	0.6878564135917011	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-2.8843419994880635	0.00406708760383676	1.5027201681375712e-25	-2.8843419994880635	0.00406708760383676	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
10	-1.1158637033065044	0.26493971609685757	1.1440931887570237e-05	-1.1158637033065044	0.26493971609685757	1.1440931887570237e-05	3.1027866257574366e-07	5.814489693712657e-12	-3.222480050482356	0.0013416882268500112	1.5027201681375712e-25	-3.222480050482356	0.0013416882268500112	1.5027201681375712e-25	3.9826336542704344e-19	1.6135813555869324e-35
