UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	6946
0	1	340
0	2	211
0	4	60
0	5	64
0	7	56
0	8	72
0	10	34
0	11	118
0	14	62
0	15	24
0	17	57
0	18	7
0	20	12
0	21	36
0	22	7
0	24	15
0	26	30
0	27	33
0	29	44
0	30	8
0	32	11
0	34	34
0	35	41
0	38	17
0	40	12
0	41	31
0	43	29
0	46	47
0	49	20
0	51	5
0	56	7
0	57	35
0	59	20
0	62	11
0	73	20
0	86	20
0	99	20
1	0	3350842
1	1	343252
1	2	183424
1	4	125861
1	5	56270
1	7	54384
1	8	93724
1	10	44247
1	11	81068
1	13	35033
1	14	74809
1	15	31256
1	17	59277
1	18	30172
1	20	27176
1	21	48955
1	22	23928
1	24	44100
1	26	20157
1	27	38910
1	29	34021
1	30	18228
1	32	32494
1	34	15229
1	35	29065
1	37	26013
1	38	13125
1	40	24622
1	41	12348
1	43	20935
1	45	10578
1	46	20009
1	48	17840
1	49	9302
1	51	16061
1	53	7500
1	54	15290
1	56	13612
1	57	7997
1	59	12917
1	61	5513
1	62	10465
1	64	5433
1	65	10247
1	67	9115
1	68	4783
1	70	6973
1	72	3112
1	73	5473
1	75	5944
1	76	3334
1	78	5883
1	80	3018
1	81	5230
1	83	2083
1	84	4055
1	86	4221
1	87	2276
1	89	4294
1	91	1833
1	92	3170
1	94	3112
1	95	1499
1	97	2922
1	99	1761
1	100	2017
1	102	1118
1	103	1929
1	105	2097
1	106	927
1	108	1528
1	110	697
1	111	1634
1	113	1167
1	114	675
1	116	1018
1	118	365
1	119	1008
1	121	999
1	122	618
1	124	716
1	125	388
1	127	1122
1	129	193
1	130	507
1	132	606
1	133	250
1	135	570
1	137	310
1	138	384
1	140	405
1	141	210
1	143	466
1	144	221
1	146	571
1	148	208
1	149	500
1	151	345
1	152	52
1	154	416
1	156	98
1	157	220
1	159	160
1	160	44
1	162	35
1	164	4
1	165	32
1	167	8
1	168	65
1	170	25
1	173	16
1	175	8
1	176	4
1	178	15
1	179	4
1	183	9
1	186	10
1	189	5
1	200	4
1	203	20
1	206	9
2	0	635046
2	1	192669
2	2	132598
2	4	96378
2	5	46219
2	7	42565
2	8	74625
2	10	37846
2	11	68468
2	13	31983
2	14	61497
2	15	30769
2	17	60652
2	18	27957
2	20	26518
2	21	56273
2	22	24445
2	24	49808
2	26	22384
2	27	46821
2	29	44211
2	30	20329
2	32	38498
2	34	19302
2	35	34661
2	37	31050
2	38	16765
2	40	30354
2	41	15327
2	43	28838
2	45	14097
2	46	28663
2	48	26848
2	49	13430
2	51	23338
2	53	11872
2	54	22915
2	56	20369
2	57	9386
2	59	19813
2	61	10206
2	62	17890
2	64	8917
2	65	16271
2	67	15291
2	68	7445
2	70	13132
2	72	6365
2	73	12504
2	75	11824
2	76	6015
2	78	11254
2	80	5680
2	81	10191
2	83	4470
2	84	9247
2	86	8026
2	87	4184
2	89	6946
2	91	3769
2	92	6827
2	94	7041
2	95	3198
2	97	5501
2	99	3063
2	100	4678
2	102	2140
2	103	4994
2	105	4266
2	106	1783
2	108	4581
2	110	1650
2	111	3612
2	113	3947
2	114	1228
2	116	3044
2	118	1203
2	119	2280
2	121	2141
2	122	966
2	124	1869
2	125	733
2	127	1891
2	129	783
2	130	1377
2	132	1319
2	133	885
2	135	1396
2	137	371
2	138	884
2	140	1033
2	141	534
2	143	880
2	144	276
2	146	1129
2	148	385
2	149	627
2	151	764
2	152	307
2	154	343
2	156	139
2	157	282
2	159	397
2	160	68
2	162	601
2	164	234
2	165	362
2	167	147
2	168	301
2	170	198
2	171	118
2	173	266
2	175	86
2	176	262
2	178	171
2	179	13
2	181	178
2	183	82
2	184	68
2	186	27
2	187	25
2	189	32
2	190	44
2	195	8
2	197	18
2	200	10
3	0	171034
3	1	92156
3	2	76597
3	4	56587
3	5	25044
3	7	23944
3	8	47250
3	10	22586
3	11	47693
3	13	23475
3	14	44895
3	15	22289
3	17	39091
3	18	19223
3	20	18822
3	21	38739
3	22	19620
3	24	39824
3	26	20765
3	27	38571
3	29	35936
3	30	17805
3	32	33094
3	34	16890
3	35	30779
3	37	29917
3	38	14856
3	40	28501
3	41	14340
3	43	27395
3	45	14072
3	46	23519
3	48	24403
3	49	11030
3	51	24563
3	53	11759
3	54	21738
3	56	19947
3	57	10578
3	59	22373
3	61	10342
3	62	20160
3	64	9406
3	65	17167
3	67	16855
3	68	7813
3	70	15629
3	72	7731
3	73	15035
3	75	15657
3	76	6303
3	78	12716
3	80	6487
3	81	13301
3	83	7078
3	84	12298
3	86	10470
3	87	5095
3	89	9868
3	91	4820
3	92	10687
3	94	8873
3	95	4818
3	97	8662
3	99	3828
3	100	7701
3	102	4178
3	103	6740
3	105	7127
3	106	3653
3	108	5687
3	110	2698
3	111	5841
3	113	5273
3	114	2321
3	116	4834
3	118	2402
3	119	4113
3	121	3657
3	122	2058
3	124	3444
3	125	1602
3	127	3913
3	129	1495
3	130	2608
3	132	2595
3	133	1249
3	135	2076
3	137	1033
3	138	2217
3	140	1728
3	141	1108
3	143	1759
3	144	735
3	146	1387
3	148	605
3	149	1400
3	151	1247
3	152	567
3	154	1604
3	156	381
3	157	1510
3	159	944
3	160	301
3	162	597
3	164	482
3	165	638
3	167	480
3	168	536
3	170	471
3	171	226
3	173	358
3	175	46
3	176	161
3	178	135
3	179	131
3	181	262
3	183	116
3	184	190
3	186	16
3	187	94
3	189	210
3	190	48
3	192	44
3	195	72
3	197	5
3	198	7
3	200	81
3	203	30
3	206	17
4	0	123561
4	1	90606
4	2	92858
