UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	6567
0	1	186
0	2	56
0	3	246
0	4	31
0	6	134
0	7	84
0	9	7
0	10	129
0	12	36
0	13	62
0	14	22
0	16	104
0	17	13
0	19	32
0	20	26
0	22	93
0	23	8
0	25	143
0	27	20
0	28	91
0	33	24
0	34	20
0	36	29
0	38	49
0	39	13
0	41	51
0	42	12
0	44	21
0	47	60
0	49	32
0	50	31
0	54	39
0	55	4
0	58	10
0	63	17
0	71	7
0	74	20
0	85	7
0	90	12
0	95	7
0	98	20
0	103	11
0	104	4
0	111	10
0	155	16
1	0	3080552
1	1	151752
1	2	96035
1	3	150594
1	4	63030
1	6	116008
1	7	56464
1	9	53576
1	10	101531
1	12	47356
1	13	85762
1	14	40824
1	16	78674
1	17	38754
1	19	37171
1	20	69773
1	22	65274
1	23	30251
1	25	58427
1	27	27135
1	28	53179
1	30	26743
1	31	50754
1	33	45832
1	34	21614
1	36	40272
1	38	18652
1	39	39051
1	41	36759
1	42	16877
1	44	31939
1	46	16326
1	47	26673
1	49	26576
1	50	13622
1	52	24134
1	54	11646
1	55	22764
1	57	10655
1	58	19741
1	60	17133
1	61	9325
1	63	16702
1	65	7670
1	66	15033
1	68	14045
1	69	6975
1	71	12873
1	73	6217
1	74	10801
1	76	12310
1	77	5645
1	79	10732
1	81	5102
1	82	9396
1	84	4086
1	85	8372
1	87	7071
1	88	3708
1	90	6471
1	92	3041
1	93	5879
1	95	5531
1	96	2332
1	98	4987
1	100	2169
1	101	4175
1	103	3321
1	104	1919
1	106	3479
1	108	1595
1	109	2733
1	111	1874
1	112	2441
1	114	2488
1	115	1557
1	117	2294
1	119	846
1	120	1920
1	122	1900
1	123	740
1	125	1598
1	127	779
1	128	1236
1	130	1315
1	131	652
1	133	1068
1	135	792
1	136	971
1	138	412
1	139	899
1	141	1140
1	142	317
1	144	535
1	146	228
1	147	759
1	149	362
1	150	185
1	152	591
1	154	144
1	155	295
1	157	341
1	158	178
1	160	201
1	162	146
1	163	385
1	165	113
1	166	126
