UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	17
1	1	1
1	13	1
1	60	1
2	0	11
2	1	3
2	4	1
2	9	2
2	39	1
2	74	1
2	79	1
3	0	6
3	1	1
3	6	1
3	16	1
3	22	1
3	25	1
3	27	1
3	28	1
3	39	1
3	42	2
3	49	1
3	54	1
3	63	1
3	120	1
4	0	4
4	13	3
4	16	1
4	20	1
4	25	1
4	34	2
4	36	1
4	50	1
4	54	1
4	66	1
4	74	1
4	92	1
4	114	1
4	147	1
5	0	4
5	1	1
5	3	1
5	13	1
5	14	1
5	17	1
5	19	1
5	20	1
5	34	1
5	47	2
5	61	1
5	63	1
5	73	1
5	115	1
5	119	1
5	147	1
6	0	1
6	1	1
6	3	1
6	9	2
6	16	1
6	17	1
6	57	1
6	58	1
6	63	1
6	74	2
6	76	1
6	79	1
6	82	1
6	96	1
6	101	1
6	103	1
6	106	1
6	119	1
7	3	1
7	13	3
7	17	1
7	20	1
7	22	1
7	31	1
7	33	1
7	34	1
7	41	2
7	42	1
7	46	1
7	47	1
7	63	1
7	74	1
7	141	2
7	171	1
8	3	2
8	4	1
8	6	1
8	13	1
8	25	1
8	27	1
8	31	1
8	46	1
8	47	1
8	54	1
8	58	1
8	74	1
8	95	1
8	111	1
8	128	1
8	131	1
8	144	1
8	154	1
8	163	1
9	0	1
9	14	2
9	23	1
9	44	1
9	47	1
9	50	1
9	55	1
9	68	1
9	69	1
9	71	1
9	74	2
9	90	1
9	138	1
9	144	2
9	158	1
9	182	1
9	195	1
10	20	1
10	39	1
10	41	1
10	49	1
10	82	1
10	87	1
10	90	1
10	103	1
10	114	1
10	122	1
10	125	1
10	130	1
10	139	1
10	141	1
10	150	1
10	165	1
10	166	1
10	181	1
10	195	1
10	214	2
