UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	4348
0	1	224
0	2	144
0	4	44
0	5	12
0	7	11
0	8	37
0	10	27
0	11	58
0	13	9
0	14	29
0	15	6
0	17	27
0	18	12
0	20	16
0	21	27
0	22	26
0	24	51
0	26	2
0	27	9
0	29	7
0	30	12
0	32	10
0	34	7
0	35	18
0	37	14
0	38	35
0	40	9
0	41	14
0	43	12
0	45	1
0	46	11
0	48	5
0	49	1
0	51	3
0	53	9
0	54	20
0	56	6
0	57	24
0	59	4
0	61	3
0	62	3
0	64	1
0	67	3
0	70	41
0	72	15
0	73	7
0	75	11
0	78	3
0	87	2
0	91	1
0	108	1
0	127	1
1	0	305027
1	1	21744
1	2	11589
1	4	8000
1	5	3621
1	7	3339
1	8	5736
1	10	2557
1	11	4558
1	13	2166
1	14	4328
1	15	1900
1	17	3200
1	18	1627
1	20	1288
1	21	3038
1	22	1361
1	24	2535
1	26	1283
1	27	1872
1	29	1816
1	30	981
1	32	1580
1	34	812
1	35	1654
1	37	1409
1	38	670
1	40	1412
1	41	670
1	43	1242
1	45	627
1	46	982
1	48	912
1	49	445
1	51	700
1	53	457
1	54	772
1	56	857
1	57	446
1	59	739
1	61	251
1	62	481
1	64	265
1	65	427
1	67	414
1	68	266
1	70	486
1	72	129
1	73	265
1	75	227
1	76	149
1	78	277
1	80	219
1	81	321
1	83	109
1	84	137
1	86	199
1	87	178
1	89	220
1	91	100
1	92	162
1	94	129
1	95	69
1	97	158
1	99	64
1	100	62
1	102	28
1	103	81
1	105	65
1	106	37
1	108	68
1	110	25
1	111	90
1	113	81
1	114	21
1	116	45
1	118	22
1	119	30
1	121	31
1	122	21
1	124	34
1	125	14
1	127	18
1	129	4
1	130	12
1	132	12
1	133	2
1	135	18
1	137	26
1	138	17
1	140	9
1	143	3
1	144	2
1	146	2
1	148	1
1	149	2
1	151	9
1	152	2
1	154	1
1	157	31
1	159	12
1	160	2
1	162	5
1	164	4
1	165	3
1	168	2
1	171	1
1	176	1
1	178	2
1	187	1
2	0	186759
2	1	33375
2	2	19795
2	4	12947
2	5	6649
2	7	5882
2	8	10575
2	10	4454
2	11	8663
2	13	3761
2	14	8326
2	15	3882
2	17	8211
2	18	3689
2	20	3395
2	21	5939
2	22	3104
2	24	5822
2	26	2695
2	27	5236
2	29	4896
2	30	2237
2	32	4145
2	34	1778
2	35	4284
2	37	3420
2	38	1832
2	40	3312
