UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	6776
0	1	238
0	2	125
0	3	513
0	4	37
0	6	106
0	7	32
0	9	35
0	10	107
0	12	52
0	13	149
0	14	33
0	16	76
0	17	20
0	19	26
0	20	56
0	22	28
0	23	23
0	25	127
0	27	16
0	28	66
0	30	56
0	31	35
0	33	38
0	34	21
0	36	48
0	38	69
0	39	29
0	41	28
0	42	4
0	44	13
0	46	10
0	47	14
0	49	21
0	50	19
0	52	13
0	54	2
0	55	15
0	57	18
0	58	6
0	60	12
0	63	11
0	65	4
0	66	9
0	68	2
0	69	2
0	71	10
0	73	1
0	74	4
0	76	24
0	79	3
0	81	1
0	82	3
0	84	1
0	85	1
0	87	1
0	88	2
0	90	2
0	93	2
0	95	14
0	98	4
0	103	2
0	108	5
0	109	1
0	111	18
0	112	12
0	135	2
0	149	1
0	157	1
1	0	348963
1	1	14311
1	2	8255
1	3	12613
1	4	4780
1	6	8931
1	7	4164
1	9	4129
1	10	8039
1	12	3476
1	13	6286
1	14	3202
1	16	6115
1	17	2544
1	19	2631
1	20	4987
1	22	4714
1	23	2227
1	25	4190
1	27	1938
1	28	3784
1	30	1903
1	31	3650
1	33	3273
1	34	1533
1	36	2481
1	38	1390
1	39	2759
1	41	2761
1	42	1066
1	44	2417
1	46	971
1	47	1880
1	49	1870
1	50	881
1	52	1670
1	54	805
1	55	1366
1	57	812
1	58	1491
1	60	1180
1	61	573
1	63	1140
1	65	476
1	66	1027
1	68	862
1	69	476
1	71	955
1	73	356
1	74	742
1	76	645
1	77	300
1	79	607
1	81	253
1	82	678
1	84	232
1	85	517
1	87	481
1	88	239
1	90	502
1	92	241
1	93	279
1	95	349
1	96	282
1	98	366
1	100	106
1	101	234
1	103	183
1	104	121
1	106	253
1	108	51
1	109	142
1	111	95
1	112	149
1	114	123
1	115	60
1	117	143
1	119	48
1	120	75
1	122	77
1	123	58
1	125	73
1	127	24
1	128	47
1	130	70
1	131	68
1	133	118
1	135	38
1	136	33
1	138	9
1	139	54
1	141	20
1	142	50
1	144	31
1	146	23
1	147	32
1	149	12
1	150	10
1	152	43
1	154	14
1	155	7
1	157	18
1	158	3
1	160	12
1	162	4
1	163	8
1	165	1
1	166	3
1	169	2
1	171	10
1	174	5
1	176	6
1	177	3
1	181	2
1	182	1
1	187	1
1	189	1
1	192	1
1	195	1
1	203	1
1	206	1
2	0	167257
2	1	15838
2	2	9907
2	3	15647
2	4	7008
2	6	11792
2	7	5855
2	9	5307
2	10	11024
2	12	4956
2	13	10020
2	14	4840
2	16	8940
2	17	4251
2	19	4260
2	20	7974
2	22	7106
2	23	3305
2	25	6697
2	27	3429
2	28	6121
2	30	2996
2	31	5740
2	33	5050
2	34	2628
2	36	4711
2	38	2176
2	39	4638
2	41	4165
2	42	1913
2	44	3418
2	46	2065
2	47	3345
2	49	2820
2	50	1427
2	52	2932
2	54	1308
2	55	2761
2	57	1195
2	58	2472
2	60	2165
2	61	1103
2	63	2355
2	65	1000
2	66	1997
2	68	1791
2	69	959
2	71	1550
2	73	745
2	74	1368
2	76	1507
2	77	694
2	79	1277
2	81	657
2	82	1320
2	84	479
2	85	1069
2	87	908
2	88	453
2	90	912
2	92	368
2	93	643
2	95	824
2	96	268
2	98	684
2	100	279
2	101	517
2	103	483
2	104	334
2	106	459
2	108	242
2	109	392
2	111	344
2	112	409
2	114	404
2	115	156
2	117	280
2	119	205
2	120	326
2	122	231
2	123	85
2	125	220
2	127	88
2	128	230
2	130	216
2	131	84
2	133	133
2	135	176
2	136	143
2	138	119
2	139	141
2	141	301
2	142	52
2	144	155
2	146	82
2	147	107
2	149	98
2	150	45
2	152	79
2	154	40
2	155	48
2	157	47
2	158	18
2	160	61
2	162	33
2	163	46
2	165	14
2	166	48
2	168	32
2	169	12
2	171	39
2	173	9
2	174	9
2	176	10
2	177	21
2	179	6
2	181	4
2	182	20
2	184	1
2	185	1
2	187	4
2	189	7
2	190	13
2	193	14
2	195	5
2	198	3
2	200	1
2	201	19
2	206	3
2	208	1
2	211	2
3	0	59039
3	1	10250
3	2	6873
3	3	11143
3	4	5090
3	6	9348
3	7	4715
3	9	4454
3	10	8593
3	12	4303
3	13	7896
3	14	3752
3	16	7210
3	17	3512
3	19	2973
3	20	6560
3	22	6094
3	23	2992
3	25	5519
3	27	2838
3	28	5384
3	30	2383
3	31	5083
3	33	4813
3	34	2192
3	36	4215
3	38	1985
3	39	4154
3	41	4169
3	42	1718
3	44	3688
3	46	1861
3	47	3288
3	49	3123
3	50	1473
3	52	3240
3	54	1501
3	55	2769
3	57	1239
3	58	2706
3	60	2449
3	61	1226
3	63	2103
3	65	1184
3	66	2080
3	68	1959
3	69	1067
3	71	1878
3	73	862
3	74	1702
3	76	1505
3	77	709
3	79	1269
3	81	645
3	82	1305
3	84	606
3	85	1006
3	87	1049
3	88	526
3	90	1096
3	92	515
3	93	934
3	95	1032
