UKB_sparse_bin	CHB_bin	UKB_WBfreq
0	0	36749
0	1	2029
0	2	808
0	4	782
0	5	175
0	7	179
0	8	462
0	10	170
0	11	455
0	13	143
0	14	372
0	15	180
0	17	209
0	18	137
0	20	149
0	21	302
0	22	185
0	24	272
0	26	102
0	27	138
0	29	113
0	30	50
0	32	99
0	34	59
0	35	131
0	37	117
0	38	145
0	40	90
0	41	14
0	43	72
0	45	38
0	46	74
0	48	42
0	49	13
0	51	37
0	53	29
0	54	67
0	56	27
0	57	14
0	59	21
0	61	2
0	62	31
0	64	18
0	65	29
0	67	43
0	68	21
0	70	17
0	72	9
0	73	15
0	75	16
0	76	23
0	78	25
0	80	4
0	81	56
0	83	5
0	84	4
0	86	27
0	87	6
0	89	6
0	91	1
0	92	2
0	94	12
0	95	6
0	97	4
0	99	1
0	100	2
0	102	5
0	106	1
0	108	2
0	110	1
0	111	6
0	113	8
0	114	1
0	116	1
0	119	1
0	124	2
0	143	1
0	146	9
0	157	11
1	0	453981
1	1	39412
1	2	21702
1	4	14624
1	5	6081
1	7	5819
1	8	9987
1	10	4614
1	11	8669
1	13	3441
1	14	7849
1	15	3124
1	17	5761
1	18	2580
1	20	2723
1	21	5321
1	22	2380
1	24	3976
1	26	1962
1	27	3389
1	29	3150
1	30	1735
1	32	2813
1	34	1263
1	35	2999
1	37	2570
1	38	1239
1	40	2729
1	41	1131
1	43	1857
1	45	1011
1	46	1948
1	48	1965
1	49	1006
1	51	1597
1	53	793
1	54	1556
1	56	1315
1	57	618
1	59	1139
1	61	500
1	62	888
1	64	509
1	65	1006
1	67	841
1	68	413
1	70	673
1	72	259
1	73	515
1	75	582
1	76	309
1	78	753
1	80	322
1	81	559
1	83	202
1	84	381
1	86	356
1	87	223
1	89	431
1	91	97
1	92	260
1	94	215
1	95	155
1	97	309
1	99	277
1	100	182
1	102	76
1	103	243
1	105	154
1	106	50
1	108	95
1	110	56
1	111	178
1	113	88
1	114	28
1	116	57
1	118	29
1	119	40
1	121	67
1	122	32
1	124	60
1	125	16
1	127	44
1	129	30
1	130	40
1	132	28
1	133	8
1	135	69
1	137	3
1	138	29
1	140	24
1	141	5
1	143	30
1	144	8
1	146	103
1	148	6
1	149	20
1	151	20
1	152	3
1	154	25
1	156	2
1	157	30
1	159	62
1	160	3
1	162	4
1	164	4
1	165	2
1	168	1
1	170	3
1	176	1
1	178	2
1	179	1
1	195	1
2	0	181094
2	1	37144
2	2	22251
2	4	15476
2	5	7050
2	7	5854
2	8	11234
2	10	5679
2	11	10952
2	13	4491
2	14	9234
2	15	4582
2	17	9394
2	18	4077
2	20	3995
2	21	7296
2	22	3461
2	24	7082
2	26	3369
2	27	5811
2	29	5605
2	30	2713
2	32	4901
2	34	2513
2	35	4770
2	37	3998
2	38	2317
2	40	3962
2	41	1957
2	43	3436
2	45	1903
2	46	3760
2	48	2988
2	49	1744
2	51	2798
2	53	1389
2	54	2601
2	56	2430
2	57	1294
2	59	2091
2	61	1283
2	62	1851
2	64	889
2	65	1717
2	67	1684
2	68	748
2	70	1571
2	72	653
2	73	1090
2	75	1134
2	76	571
2	78	1088
2	80	440
2	81	854
2	83	418
2	84	825
2	86	745
2	87	538
2	89	714
2	91	308
2	92	622
2	94	570
2	95	382
2	97	512
2	99	358
2	100	443
2	102	260
2	103	455
2	105	388
2	106	239
2	108	371
2	110	159
2	111	332
2	113	253
2	114	112
2	116	263
2	118	119
2	119	136
2	121	239
2	122	54
2	124	199
2	125	94
2	127	119
2	129	58
2	130	119
2	132	172
2	133	138
2	135	147
2	137	72
2	138	77
2	140	68
2	141	27
2	143	78
2	144	49
2	146	119
2	148	24
2	149	99
2	151	80
2	152	50
2	154	15
2	156	3
2	157	10
2	159	13
2	160	18
2	162	5
2	164	1
2	165	19
2	167	7
2	168	13
2	170	12
2	171	3
2	173	31
2	175	4
2	176	13
2	178	3
2	179	2
2	181	2
2	183	18
2	184	2
2	187	3
2	189	1
2	195	1
2	206	2
3	0	41738
3	1	16802
3	2	12327
3	4	8936
3	5	4347
3	7	3666
3	8	6660
3	10	3664
3	11	7514
3	13	3157
3	14	6516
3	15	3539
3	17	6404
3	18	2524
3	20	2735
3	21	6287
3	22	2602
3	24	5414
3	26	2666
3	27	5590
3	29	4748
3	30	2177
3	32	3953
3	34	1801
3	35	3595
3	37	4196
3	38	1813
3	40	3630
3	41	1895
3	43	3486
3	45	1520
3	46	2699
3	48	2955
3	49	1706
3	51	3301
3	53	1626
3	54	2281
3	56	2226
3	57	1154
3	59	2483
3	61	1176
3	62	2487
3	64	883
3	65	1818
3	67	2109
3	68	849
3	70	1569
3	72	775
3	73	1460
3	75	1401
3	76	751
3	78	1676
3	80	786
3	81	1325
3	83	932
3	84	1398
3	86	981
3	87	524
3	89	947
3	91	657
3	92	904
3	94	842
3	95	499
3	97	928
3	99	360
3	100	649
3	102	291
3	103	592
3	105	670
3	106	375
3	108	575
3	110	214
3	111	600
3	113	469
3	114	286
3	116	584
3	118	157
3	119	409
3	121	282
3	122	255
3	124	278
3	125	135
3	127	246
3	129	131
3	130	198
3	132	180
3	133	72
3	135	177
3	137	100
3	138	108
3	140	143
3	141	85
3	143	73
3	144	49
3	146	168
3	148	47
3	149	106
3	151	87
3	152	26
3	154	53
3	156	108
3	157	96
3	159	51
3	160	66
3	162	101
3	164	64
3	165	30
3	167	22
3	168	232
3	170	59
3	171	11
3	173	70
3	175	12
3	176	17
3	178	8
3	179	2
3	181	21
3	183	6
3	184	20
3	187	3
3	189	1
3	190	4
3	194	1
3	195	1
3	200	7
4	0	18186
4	1	12330
4	2	10893
4	4	8613
4	5	4178
4	7	3522
4	8	7348
4	10	3827
4	11	6420
4	13	3762
4	14	6848
4	15	3719
4	17	6592
4	18	2953
4	20	3157
4	21	6807
4	22	3504
4	24	6697
4	26	3632
4	27	6348
4	29	5857
4	30	3380
4	32	5320
4	34	3043
4	35	5742
4	37	5485
4	38	2817
4	40	5985
4	41	2565
4	43	5641
4	45	2385
4	46	4824
4	48	4636
4	49	2256
4	51	4655
4	53	1922
4	54	4268
4	56	4154
4	57	2190
4	59	4357
4	61	2226
4	62	4119
4	64	2442
4	65	3992
4	67	3963
4	68	1848
4	70	3328
4	72	1608
4	73	3508
4	75	3028
4	76	1527
4	78	3206
4	80	1574
4	81	3309
4	83	1512
4	84	2774
4	86	2522
4	87	1161
4	89	2693
4	91	1176
4	92	2517
4	94	2218
4	95	1101
4	97	1885
4	99	1133
4	100	2191
4	102	928
4	103	1620
4	105	1706
4	106	923
4	108	1480
4	110	728
4	111	1465
4	113	1391
4	114	844
4	116	1372
4	118	552
4	119	989
4	121	845
4	122	444
4	124	1110
4	125	442
4	127	870
4	129	434
4	130	864
4	132	813
4	133	376
4	135	760
4	137	282
4	138	574
4	140	703
4	141	419
4	143	563
4	144	247
4	146	449
4	148	217
4	149	440
4	151	463
4	152	166
4	154	424
4	156	191
4	157	442
4	159	333
4	160	382
4	162	332
4	164	159
4	165	364
4	167	139
4	168	448
4	170	242
4	171	35
4	173	110
4	175	27
4	176	47
4	178	72
4	179	32
4	181	92
4	183	17
4	184	123
4	186	10
4	187	44
4	189	58
4	190	11
4	192	22
4	194	12
4	195	65
4	197	31
4	200	8
4	203	3
4	206	2
5	0	7914
5	1	6552
5	2	7242
5	4	6343
5	5	2678
5	7	2465
5	8	5692
5	10	2674
5	11	5938
5	13	2388
5	14	4534
5	15	2748
5	17	4579
5	18	2322
5	20	2426
5	21	5589
5	22	2640
5	24	4636
5	26	2686
5	27	5018
5	29	5223
5	30	2363
5	32	4737
5	34	2626
5	35	5399
5	37	5169
5	38	2508
5	40	4696
5	41	2681
5	43	4891
5	45	2342
5	46	4853
5	48	4711
5	49	2403
5	51	4883
5	53	2329
5	54	4233
5	56	4029
5	57	2083
5	59	3686
5	61	1906
5	62	4100
5	64	1792
5	65	3989
5	67	3219
5	68	1621
5	70	3578
5	72	2022
5	73	3081
5	75	3555
5	76	1512
5	78	3062
5	80	1826
5	81	2845
5	83	1256
5	84	3344
5	86	3030
5	87	1595
5	89	3230
5	91	1277
5	92	2757
5	94	2362
5	95	1160
5	97	2599
5	99	1292
5	100	2278
5	102	1094
5	103	2130
5	105	2139
5	106	949
5	108	1952
5	110	1135
5	111	1791
5	113	1517
5	114	692
5	116	1823
5	118	710
5	119	1440
5	121	1691
5	122	531
5	124	1172
5	125	787
5	127	1243
5	129	511
5	130	1109
5	132	1059
5	133	586
5	135	1090
5	137	464
5	138	783
5	140	1091
5	141	511
5	143	741
5	144	292
5	146	592
5	148	308
5	149	724
5	151	530
5	152	276
5	154	304
5	156	230
5	157	560
5	159	584
5	160	175
5	162	329
5	164	209
5	165	312
5	167	195
5	168	206
5	170	218
5	171	133
5	173	151
5	175	39
5	176	132
5	178	140
5	179	63
5	181	180
5	183	42
5	184	79
5	186	75
5	187	123
5	189	105
5	190	6
5	192	26
5	194	32
5	195	92
5	197	33
5	198	35
5	200	22
5	202	2
5	203	23
5	205	2
5	206	5
6	0	3729
6	1	3544
6	2	4530
6	4	3040
6	5	1535
6	7	1602
6	8	3293
6	10	1458
6	11	3432
6	13	1319
6	14	2706
6	15	1785
6	17	3085
6	18	1579
6	20	1632
6	21	3160
6	22	1468
6	24	3454
6	26	1749
6	27	3330
6	29	3816
6	30	1972
6	32	3857
6	34	2030
6	35	3363
6	37	3421
6	38	1655
6	40	3628
6	41	1668
6	43	3727
6	45	1537
6	46	3811
6	48	3751
6	49	1914
6	51	3650
6	53	1705
6	54	3967
6	56	3517
6	57	1915
6	59	3833
6	61	1588
6	62	3482
6	64	1425
6	65	3376
6	67	3421
6	68	1552
6	70	2916
6	72	1628
6	73	3124
6	75	3021
6	76	1432
6	78	3092
6	80	1596
6	81	3164
6	83	1424
6	84	3271
6	86	2962
6	87	1417
6	89	3094
6	91	1268
6	92	2918
6	94	2381
6	95	1081
6	97	2471
6	99	1562
6	100	2270
6	102	1031
6	103	2188
6	105	2092
6	106	1106
6	108	1841
6	110	861
6	111	1919
6	113	1821
6	114	778
6	116	1447
6	118	891
6	119	1550
6	121	1532
6	122	862
6	124	1367
6	125	639
6	127	1316
6	129	657
6	130	1269
6	132	1187
6	133	500
6	135	1231
6	137	649
6	138	1157
6	140	969
6	141	368
6	143	826
6	144	424
6	146	724
6	148	362
6	149	841
6	151	674
6	152	421
6	154	503
6	156	304
6	157	563
6	159	337
6	160	190
6	162	449
6	164	189
6	165	493
6	167	175
6	168	313
6	170	424
6	171	190
6	173	364
6	175	103
6	176	294
6	178	235
6	179	194
6	181	147
6	183	115
6	184	74
6	186	122
6	187	123
6	189	87
6	190	35
6	192	76
6	194	63
6	195	49
6	197	61
6	198	14
6	200	38
6	202	53
6	203	28
6	205	5
6	206	1
7	0	940
7	1	1136
7	2	2232
7	4	1434
7	5	818
7	7	680
7	8	1567
7	10	719
7	11	1407
7	13	852
7	14	1456
7	15	704
7	17	1785
7	18	827
7	20	934
7	21	2083
7	22	1114
7	24	1861
7	26	868
7	27	1902
7	29	2106
7	30	1180
7	32	2165
7	34	944
7	35	2341
7	37	2324
7	38	1100
7	40	2094
7	41	1068
7	43	2648
7	45	1185
7	46	2382
7	48	2560
7	49	1150
7	51	2582
7	53	1260
7	54	2444
7	56	2701
7	57	1174
7	59	2484
7	61	1162
7	62	3028
7	64	1584
7	65	3061
7	67	2551
7	68	1154
7	70	2703
7	72	1105
7	73	2723
7	75	2730
7	76	1249
7	78	2557
7	80	1430
7	81	2688
7	83	1324
7	84	2703
7	86	2534
7	87	1087
7	89	2243
7	91	1400
7	92	2698
7	94	2710
7	95	1194
7	97	2291
7	99	1151
7	100	2291
7	102	1038
7	103	2212
7	105	2008
7	106	1151
7	108	2320
7	110	998
7	111	2064
7	113	2166
7	114	815
7	116	1769
7	118	833
7	119	1700
7	121	1766
7	122	719
7	124	1934
7	125	731
7	127	1913
7	129	753
7	130	1963
7	132	1523
7	133	728
7	135	1422
7	137	775
7	138	1253
7	140	1289
7	141	741
7	143	1138
7	144	587
7	146	1427
7	148	597
7	149	1110
7	151	1177
7	152	586
7	154	886
7	156	499
7	157	980
7	159	962
7	160	385
7	162	737
7	164	415
7	165	744
7	167	354
7	168	687
7	170	888
7	171	236
7	173	526
7	175	246
7	176	518
