UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	20
1	17	1
2	0	11
2	1	2
2	2	1
2	8	1
2	14	1
2	70	1
2	81	1
2	83	1
2	146	1
3	0	12
3	1	1
3	2	1
3	7	1
3	24	1
3	26	1
3	49	1
3	94	1
3	118	1
4	0	5
4	1	2
4	2	1
4	7	1
4	10	1
4	11	1
4	21	1
4	24	1
4	27	1
4	29	1
4	43	1
4	59	1
4	65	2
4	89	1
5	0	3
5	8	2
5	14	1
5	21	2
5	22	1
5	30	1
5	35	1
5	54	2
5	57	1
5	62	2
5	70	1
5	116	1
5	135	1
5	156	1
6	0	2
6	2	1
6	10	1
6	14	3
6	18	1
6	27	2
6	35	1
6	37	1
6	41	1
6	43	1
6	45	1
6	49	2
6	67	1
6	118	1
6	173	1
6	184	1
7	4	2
7	18	1
7	21	1
7	40	1
7	41	1
7	75	1
7	78	1
7	84	1
7	97	1
7	99	1
7	105	1
7	106	1
7	127	1
7	135	2
7	148	1
7	154	1
7	167	1
7	176	1
8	1	1
8	8	1
8	35	1
8	59	1
8	62	1
8	65	1
8	78	1
8	84	1
8	86	1
8	89	1
8	92	1
8	103	1
8	114	1
8	119	1
8	121	1
8	124	2
8	154	1
8	164	1
8	192	1
9	13	1
9	54	1
9	56	1
9	84	1
9	87	1
9	92	1
9	95	1
9	110	3
9	113	1
9	116	2
9	124	1
9	127	2
9	138	1
9	162	1
9	197	2
10	24	1
10	27	1
10	49	1
10	84	1
10	100	1
10	105	1
10	121	1
10	124	2
10	132	1
10	135	1
10	141	1
10	148	1
10	162	1
10	165	2
10	186	1
10	187	1
10	190	1
10	192	1
10	206	1
