UKB_sparse_bin	YRI_bin	UKB_WBfreq
1	0	19
1	9	1
1	47	1
2	0	13
2	6	1
2	17	1
2	31	1
2	49	1
2	63	1
2	76	1
2	82	1
3	0	11
3	3	1
3	10	2
3	14	1
3	16	1
3	28	1
3	33	1
3	36	1
3	74	1
4	0	5
4	1	1
4	2	1
4	3	2
4	6	1
4	7	2
4	9	1
4	13	1
4	22	2
4	33	2
4	63	1
4	82	1
5	0	2
5	1	2
5	3	1
5	6	1
5	7	1
5	10	1
5	12	1
5	23	1
5	25	3
5	31	1
5	41	1
5	52	1
5	71	1
5	76	1
5	87	1
5	108	1
6	0	3
6	10	2
6	14	1
6	16	2
6	27	1
6	33	1
6	39	1
6	49	1
6	52	1
6	54	1
6	55	1
6	58	1
6	60	1
6	74	1
6	77	1
6	87	1
6	101	1
7	0	2
7	10	2
7	13	1
7	25	1
7	31	1
7	33	1
7	50	1
7	63	1
7	66	1
7	79	1
7	90	1
7	101	2
7	112	1
7	115	1
7	128	1
7	141	1
7	155	1
8	0	1
8	1	1
8	3	1
8	6	1
8	13	1
8	22	1
8	28	1
8	33	1
8	36	1
8	41	1
8	49	1
8	71	1
8	79	1
8	85	1
8	106	1
8	122	1
8	125	1
8	131	1
8	149	1
8	157	1
9	3	1
9	36	1
9	38	1
9	44	1
9	55	1
9	68	1
9	71	1
9	76	1
9	77	1
9	82	1
9	100	2
9	103	1
9	112	1
9	130	2
9	144	1
9	146	1
9	149	1
9	160	1
10	0	1
10	6	1
10	13	1
10	17	1
10	38	1
10	39	1
10	44	1
10	58	1
10	133	1
10	147	2
10	152	1
10	154	1
10	155	1
10	162	1
10	168	2
10	169	1
10	184	1
10	201	1
10	209	1
