UKB_sparse_bin	CHB_bin	UKB_WBfreq
1	0	20
2	0	15
2	1	1
2	14	1
2	35	1
2	46	1
3	0	10
3	1	2
3	8	2
3	15	1
3	17	2
3	21	1
3	35	1
4	1	1
4	2	1
4	8	2
4	13	1
4	15	1
4	21	3
4	35	1
4	40	1
4	61	1
4	73	1
4	78	2
4	81	1
4	84	1
4	110	1
4	149	1
5	1	1
5	17	1
5	22	1
5	24	1
5	27	1
5	29	1
5	30	1
5	34	1
5	37	1
5	43	2
5	48	1
5	56	1
5	65	1
5	80	1
5	81	1
5	99	1
5	127	1
5	132	1
6	5	1
6	14	3
6	15	1
6	27	1
6	29	1
6	41	1
6	51	1
6	54	1
6	67	1
6	70	1
6	76	1
6	80	1
6	81	1
6	83	1
6	97	1
6	124	1
6	138	1
6	140	1
7	1	1
7	4	1
7	8	1
7	17	1
7	24	1
7	38	1
7	43	1
7	46	2
7	64	1
7	70	1
7	73	3
7	87	1
7	95	1
7	148	1
7	152	1
7	160	1
8	2	2
8	8	1
8	20	1
8	21	1
8	35	1
8	43	1
8	62	1
8	83	1
8	92	1
8	97	2
8	114	1
8	127	1
8	129	1
8	133	1
8	143	1
8	154	1
8	170	1
9	34	1
9	65	1
9	70	1
9	72	1
9	75	1
9	95	1
9	119	1
9	121	1
9	124	3
9	129	1
9	132	1
9	135	1
9	140	1
9	148	1
9	156	1
9	165	1
9	202	1
10	37	1
10	124	1
10	140	1
10	148	1
10	151	2
10	159	1
10	164	1
10	165	4
10	170	1
10	178	1
10	179	1
10	181	1
10	186	1
10	202	1
10	206	2
