UKB_sparse_bin	YRI_bin	UKB_WBfreq
0	0	4965
0	1	132
0	2	69
0	3	233
0	4	36
0	6	49
0	7	37
0	9	28
0	10	102
0	12	21
0	13	64
0	14	17
0	16	57
0	17	15
0	19	21
0	20	43
0	22	19
0	23	20
0	25	59
0	27	13
0	28	48
0	30	24
0	31	20
0	33	80
0	34	19
0	36	25
0	38	24
0	39	33
0	41	19
0	42	7
0	44	10
0	46	2
0	47	7
0	49	14
0	50	8
0	52	11
0	54	6
0	55	14
0	57	4
0	58	10
0	60	11
0	61	5
0	63	6
0	65	1
0	66	6
0	68	3
0	69	1
0	71	5
0	73	2
0	74	6
0	76	8
0	79	3
0	82	6
0	84	3
0	85	3
0	87	5
0	92	6
0	93	5
0	95	6
0	96	1
0	98	3
0	103	1
0	106	1
0	108	1
0	111	4
0	112	5
0	120	1
0	125	3
0	128	2
0	130	1
0	133	3
0	136	1
0	152	2
1	0	576231
1	1	28087
1	2	16640
1	3	26801
1	4	10957
1	6	19843
1	7	9690
1	9	9392
1	10	17258
1	12	8382
1	13	15148
1	14	7010
1	16	13223
1	17	6201
1	19	6036
1	20	11584
1	22	11073
1	23	5029
1	25	9872
1	27	4585
1	28	8914
1	30	4509
1	31	8174
1	33	7776
1	34	3724
1	36	6596
1	38	3022
1	39	6479
1	41	6467
1	42	2946
1	44	5493
1	46	2602
1	47	4527
1	49	4420
1	50	2134
1	52	3973
1	54	2057
1	55	3811
1	57	1781
1	58	3100
1	60	2911
1	61	1551
1	63	2761
1	65	1309
1	66	2537
1	68	2204
1	69	1165
1	71	2199
1	73	988
1	74	1954
1	76	2199
1	77	941
1	79	1671
1	81	873
1	82	1637
1	84	760
1	85	1449
1	87	1236
1	88	611
1	90	1100
1	92	469
1	93	878
1	95	863
1	96	427
1	98	830
1	100	393
1	101	772
1	103	531
1	104	258
1	106	562
1	108	202
1	109	527
1	111	319
1	112	465
1	114	368
1	115	231
1	117	304
1	119	180
1	120	369
1	122	248
1	123	119
1	125	246
1	127	103
1	128	180
1	130	187
1	131	99
1	133	156
1	135	71
1	136	120
1	138	75
1	139	142
1	141	138
1	142	71
1	144	107
1	146	71
1	147	120
1	149	68
1	150	38
1	152	66
1	154	20
1	155	33
1	157	49
1	158	8
1	160	42
1	162	21
1	163	74
1	165	9
1	166	7
1	168	16
1	169	4
1	171	55
1	173	9
1	174	19
1	176	15
1	177	6
1	179	10
1	181	2
1	182	3
1	184	2
1	187	5
1	189	1
1	190	6
1	192	2
1	193	7
1	195	25
1	206	1
1	208	2
1	211	1
2	0	131579
2	1	19054
2	2	13744
2	3	19992
2	4	9217
2	6	16111
2	7	8266
2	9	8413
2	10	14537
2	12	7031
2	13	13086
2	14	6697
2	16	12351
2	17	5758
2	19	5325
2	20	11404
2	22	10541
2	23	4862
2	25	9635
2	27	4457
2	28	9135
2	30	4255
2	31	9053
2	33	7832
2	34	3658
2	36	7336
2	38	3296
